"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0,0.278,0.494,0.278,0.094
"2",2,0,0.266,0.484,0.264,0.088
"3",3,0,0.202,0.462,0.202,0.064
"4",4,0,0.292,0.538,0.294,0.036
"5",5,0,0.252,0.46,0.252,0.058
"6",6,0,0.3,0.504,0.298,0.114
"7",7,0,0.206,0.474,0.204,0.026
"8",8,0,0.218,0.464,0.216,0.03
"9",9,0,0.192,0.444,0.192,0.044
"10",10,0,0.282,0.472,0.282,0.034
"11",11,0,0.218,0.466,0.21,0.048
"12",12,0,0.216,0.472,0.216,0.092
"13",13,0,0.202,0.438,0.202,0.024
"14",14,0,0.218,0.482,0.218,0.102
"15",15,0,0.186,0.446,0.186,0.048
"16",16,0,0.242,0.496,0.238,0.09
"17",17,0,0.182,0.448,0.168,0.028
"18",18,0,0.24,0.5,0.236,0.04
"19",19,0,0.272,0.496,0.272,0.03
"20",20,0,0.24,0.462,0.238,0.022
"21",21,0,0.206,0.446,0.206,0.034
"22",22,0,0.202,0.482,0.202,0.046
"23",23,0,0.222,0.544,0.218,0.076
"24",24,0,0.254,0.468,0.254,0.02
"25",25,0,0.266,0.454,0.254,0.024
"26",26,0,0.246,0.518,0.238,0.054
"27",27,0,0.238,0.504,0.236,0.072
"28",28,0,0.218,0.458,0.218,0.08
"29",29,0,0.266,0.49,0.252,0.048
"30",30,0,0.228,0.424,0.226,0.078
"31",31,0,0.228,0.472,0.222,0.06
"32",32,0,0.248,0.492,0.246,0.07
"33",33,0,0.216,0.488,0.212,0.048
"34",34,0,0.246,0.476,0.244,0.098
"35",35,0,0.254,0.506,0.254,0.08
"36",36,0,0.256,0.508,0.252,0.086
"37",37,0,0.272,0.516,0.268,0.006
"38",38,0,0.214,0.512,0.214,0.074
"39",39,0,0.224,0.462,0.224,0.09
"40",40,0,0.25,0.48,0.244,0.054
"41",41,0,0.242,0.53,0.24,0.056
"42",42,0,0.206,0.486,0.204,0.02
"43",43,0,0.276,0.508,0.262,0.044
"44",44,0,0.226,0.49,0.226,0.022
"45",45,0,0.228,0.522,0.228,0.052
"46",46,0,0.17,0.47,0.168,0.028
"47",47,0,0.252,0.462,0.25,0.086
"48",48,0,0.26,0.464,0.258,0.054
"49",49,0,0.27,0.494,0.268,0.076
"50",50,0,0.238,0.488,0.238,0.044
