"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.135135135135135,0,0,0,0
"2",2,0.0344827586206897,0,0,0,0
"3",3,0.0824742268041237,0,0,0,0
"4",4,0.0824175824175824,0,0,0,0
"5",5,0.0751445086705202,0,0,0,0
"6",6,0.083743842364532,0,0,0,0
"7",7,0.0862944162436548,0,0,0,0
"8",8,0.0979381443298969,0,0,0,0
"9",9,0.0892018779342723,0,0,0,0
"10",10,0.0975609756097561,0,0,0,0
"11",11,0.0862944162436548,0,0,0,0
"12",12,0.0873362445414847,0,0,0,0
"13",13,0.0842105263157895,0,0,0,0
"14",14,0.119402985074627,0,0,0,0
"15",15,0.0961538461538462,0,0,0,0
"16",16,0.117948717948718,0,0,0,0
"17",17,0.0962566844919786,0,0,0,0
"18",18,0.105932203389831,0,0,0,0
"19",19,0.0851063829787234,0,0,0,0
"20",20,0.0594594594594595,0,0,0,0
"21",21,0.064327485380117,0,0,0,0
"22",22,0.112676056338028,0,0,0,0
"23",23,0.102803738317757,0,0,0,0
"24",24,0.0947368421052632,0,0,0,0
"25",25,0.129807692307692,0,0,0,0
"26",26,0.0820512820512821,0,0,0,0
"27",27,0.0852272727272727,0,0,0,0
"28",28,0.121052631578947,0,0,0,0
"29",29,0.0940594059405941,0,0,0,0
"30",30,0.092896174863388,0,0,0,0
"31",31,0.0772946859903382,0,0,0,0
"32",32,0.0641711229946524,0,0,0,0
"33",33,0.087378640776699,0,0,0,0
"34",34,0.0707070707070707,0,0,0,0
"35",35,0.102564102564103,0,0,0,0
"36",36,0.0976744186046512,0,0,0,0
"37",37,0.0736842105263158,0,0,0,0
"38",38,0.0725388601036269,0,0,0,0
"39",39,0.101796407185629,0,0,0,0
"40",40,0.102857142857143,0,0,0,0
"41",41,0.0792079207920792,0,0,0,0
"42",42,0.141509433962264,0,0,0,0
"43",43,0.0918918918918919,0,0,0,0
"44",44,0.0824742268041237,0,0,0,0
"45",45,0.0469798657718121,0,0,0,0
"46",46,0.0967741935483871,0,0,0,0
"47",47,0.0758293838862559,0,0,0,0
"48",48,0.104972375690608,0,0,0,0
"49",49,0.130434782608696,0,0,0,0
"50",50,0.119047619047619,0,0,0,0
