"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.428,0,0,0,0
"2",2,0.462,0,0,0,0
"3",3,0.512,0,0,0,0
"4",4,0.496,0,0,0,0
"5",5,0.452,0,0,0,0
"6",6,0.462,0,0,0,0
"7",7,0.47,0,0,0,0
"8",8,0.428,0,0,0,0
"9",9,0.462,0,0,0,0
"10",10,0.46,0,0,0,0
"11",11,0.458,0,0,0,0
"12",12,0.49,0,0,0,0
"13",13,0.49,0,0,0,0
"14",14,0.492,0,0,0,0
"15",15,0.464,0,0,0,0
"16",16,0.464,0,0,0,0
"17",17,0.438,0,0,0,0
"18",18,0.47,0,0,0,0
"19",19,0.448,0,0,0,0
"20",20,0.416,0,0,0,0
"21",21,0.442,0,0,0,0
"22",22,0.426,0,0,0,0
"23",23,0.458,0,0,0,0
"24",24,0.466,0,0,0,0
"25",25,0.46,0,0,0,0
"26",26,0.5,0,0,0,0
"27",27,0.47,0,0,0,0
"28",28,0.486,0,0,0,0
"29",29,0.44,0,0,0,0
"30",30,0.528,0,0,0,0
"31",31,0.454,0,0,0,0
"32",32,0.466,0,0,0,0
"33",33,0.444,0,0,0,0
"34",34,0.422,0,0,0,0
"35",35,0.494,0,0,0,0
"36",36,0.458,0,0,0,0
"37",37,0.472,0,0,0,0
"38",38,0.476,0,0,0,0
"39",39,0.424,0,0,0,0
"40",40,0.502,0,0,0,0
"41",41,0.462,0,0,0,0
"42",42,0.434,0,0,0,0
"43",43,0.474,0,0,0,0
"44",44,0.428,0,0,0,0
"45",45,0.478,0,0,0,0
"46",46,0.432,0,0,0,0
"47",47,0.494,0,0,0,0
"48",48,0.504,0,0,0,0
"49",49,0.486,0,0,0,0
"50",50,0.45,0,0,0,0
