"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.638,0.638,0.658,0.638,0.61
"2",2,0.6,0.6,0.624,0.6,0.55
"3",3,0.618,0.616,0.646,0.616,0.594
"4",4,0.592,0.592,0.608,0.592,0.576
"5",5,0.572,0.572,0.614,0.57,0.516
"6",6,0.594,0.592,0.63,0.592,0.552
"7",7,0.622,0.622,0.676,0.622,0.602
"8",8,0.602,0.596,0.616,0.6,0.574
"9",9,0.58,0.582,0.602,0.578,0.538
"10",10,0.596,0.596,0.638,0.596,0.584
"11",11,0.566,0.562,0.596,0.562,0.522
"12",12,0.588,0.588,0.618,0.588,0.546
"13",13,0.624,0.624,0.646,0.624,0.562
"14",14,0.65,0.65,0.662,0.65,0.622
"15",15,0.586,0.586,0.618,0.586,0.548
"16",16,0.606,0.608,0.62,0.608,0.552
"17",17,0.634,0.634,0.664,0.634,0.602
"18",18,0.568,0.568,0.588,0.568,0.54
"19",19,0.606,0.608,0.644,0.608,0.592
"20",20,0.598,0.598,0.626,0.598,0.588
"21",21,0.626,0.626,0.648,0.624,0.592
"22",22,0.564,0.564,0.57,0.564,0.526
"23",23,0.628,0.63,0.652,0.63,0.588
"24",24,0.604,0.604,0.642,0.604,0.552
"25",25,0.614,0.614,0.644,0.614,0.574
"26",26,0.574,0.572,0.594,0.572,0.568
"27",27,0.528,0.528,0.588,0.528,0.514
"28",28,0.626,0.624,0.644,0.624,0.574
"29",29,0.598,0.598,0.632,0.598,0.556
"30",30,0.582,0.586,0.606,0.582,0.532
"31",31,0.62,0.62,0.632,0.62,0.562
"32",32,0.594,0.594,0.61,0.594,0.562
"33",33,0.576,0.576,0.602,0.574,0.534
"34",34,0.606,0.608,0.63,0.606,0.586
"35",35,0.596,0.596,0.64,0.596,0.536
"36",36,0.602,0.602,0.65,0.602,0.586
"37",37,0.646,0.644,0.68,0.644,0.582
"38",38,0.59,0.59,0.616,0.59,0.534
"39",39,0.646,0.644,0.668,0.644,0.582
"40",40,0.582,0.582,0.596,0.582,0.534
"41",41,0.61,0.612,0.652,0.612,0.59
"42",42,0.592,0.592,0.624,0.592,0.562
"43",43,0.592,0.592,0.628,0.592,0.53
"44",44,0.578,0.576,0.602,0.574,0.544
"45",45,0.608,0.608,0.634,0.608,0.558
"46",46,0.626,0.624,0.666,0.624,0.57
"47",47,0.588,0.588,0.636,0.588,0.562
"48",48,0.584,0.584,0.624,0.584,0.558
"49",49,0.592,0.59,0.624,0.59,0.568
"50",50,0.59,0.592,0.61,0.592,0.542
