"","n1","n2","power","fdr"
"1",3,3,0.06008,0.0415670855316043
"2",3,4,0.19014,0.0829199541619665
"3",3,5,0.24624,0.132840686585722
"4",3,6,0.27002,0.182948043502012
"5",3,7,0.29008,0.22011807728487
"6",3,8,0.29166,0.260254266238928
"7",3,9,0.30192,0.290095674668905
"8",3,10,0.29692,0.309914319679913
"9",3,11,0.29522,0.332283825895694
"10",3,12,0.29396,0.346861652376724
"11",4,4,0.37264,0.0690784981769661
"12",4,5,0.42006,0.0897931241997513
"13",4,6,0.44428,0.109792284146937
"14",4,7,0.45814,0.13065412764856
"15",4,8,0.46454,0.142706680643665
"16",4,9,0.47204,0.160656076864457
"17",4,10,0.46892,0.169096125013946
"18",4,11,0.4712,0.176222732076155
"19",4,12,0.4724,0.182110490097946
"20",4,13,0.46936,0.188544453240943
"21",5,5,0.52496,0.077168214647316
"22",5,6,0.5419,0.0903630555194531
"23",5,7,0.55486,0.0998260705507183
"24",5,8,0.56462,0.107423093510006
"25",5,9,0.57496,0.118525606713067
"26",5,10,0.57594,0.124511735909097
"27",5,11,0.5781,0.131729480580179
"28",5,12,0.58002,0.134999628831154
"29",5,13,0.58338,0.140560403267001
"30",5,14,0.58154,0.141728708025931
"31",6,6,0.59738,0.082604011336291
"32",6,7,0.60958,0.0868379846016223
"33",6,8,0.62544,0.0964980342286005
"34",6,9,0.6277,0.103880881279216
"35",6,10,0.63826,0.107828053061147
"36",6,11,0.64226,0.111127568256939
"37",6,12,0.64428,0.113928687657778
"38",6,13,0.64358,0.116404610203017
"39",6,14,0.64186,0.119218049979449
"40",6,15,0.64524,0.123389241998053
"41",7,7,0.64758,0.0851112157007404
"42",7,8,0.65936,0.0880158546204787
"43",7,9,0.66418,0.0953400733751544
"44",7,10,0.66902,0.0978225705832306
"45",7,11,0.67142,0.0995638875701517
"46",7,12,0.67492,0.104772362921033
"47",7,13,0.68148,0.105808064439845
"48",7,14,0.68138,0.108640037923261
"49",7,15,0.68458,0.108502193032437
"50",7,16,0.68712,0.109994999918951
"51",8,8,0.68026,0.0850538704142081
"52",8,9,0.68748,0.0913005339502073
"53",8,10,0.69518,0.095219142236647
"54",8,11,0.70016,0.0967917369140526
"55",8,12,0.70556,0.0987620783819197
"56",8,13,0.71014,0.101580185345539
"57",8,14,0.71384,0.101969650210171
"58",8,15,0.71394,0.102423386770311
"59",8,16,0.7135,0.106037762495083
"60",8,17,0.71434,0.106382575462117
"61",9,9,0.71014,0.0909187447434394
"62",9,10,0.71402,0.0910930492632293
"63",9,11,0.7164,0.0928941995592332
"64",9,12,0.72064,0.0930523315154743
"65",9,13,0.7242,0.094263200417201
"66",9,14,0.72864,0.0971463572302252
"67",9,15,0.7313,0.0990514903771475
"68",9,16,0.73418,0.0987073365528865
"69",9,17,0.73614,0.10022084265226
"70",9,18,0.73692,0.10149666199155
