n1,n2,rounds,1D_MLE,1D_NPMLE,2D_NPMLE,1D_Proj,Welch,B_F,EV_NPMLE
3,3,50,0.0941604741242568,0.0936017674190328,0.0904272324491693,0.092907676052233,0.0438618262489893,0,0.0876815703617665
3,4,50,0.0920384374530516,0.0928355958263844,0.0916845009352624,0.0916450981886523,0.0854776622852781,0,0.132627620891316
3,5,50,0.0926519786354845,0.0934145290839223,0.0921611462470571,0.0918933118268133,0.128850220792213,0,0.147988627066022
3,6,50,0.0948317161289487,0.0892833268438979,0.0930573935568506,0.0881773558743014,0.183554711727286,0,0.168034594825219
3,7,50,0.0905865007125452,0.0909700663110373,0.0945203163237525,0.0895086694403288,0.223419859414016,0,0.179938922306961
3,8,50,0.0901303631897257,0.0907790636009941,0.095553351018399,0.0900059453382826,0.261805549702444,0.0255384615384615,0.1869502019139
3,9,50,0.092856352325267,0.0928651466316715,0.0932827135459975,0.0919253958120858,0.294977275568617,0.02,0.20151858111443
4,4,50,0.0884353807464766,0.0884644885247025,0.0889957616222891,0.0877380503195831,0.0680952511288082,0.000679824561403509,0
4,5,50,0.0924791269471544,0.0923504156254572,0.0884335006055977,0.0914739497670512,0.0892900195595783,0.00877199208679129,0
4,6,50,0.0920126266537961,0.0919789557750181,0.0894683858043886,0.0914213368385319,0.111003981995721,0.0150499485177205,0
4,7,50,0.0902016170441563,0.0899756116481703,0.0885799229507485,0.0899454325143124,0.125758144517006,0.0280965307929966,0
4,8,50,0.093494208141117,0.0937470017397093,0.0928646870920745,0.0931072189464773,0.141271817474951,0.0321739121105663,0
4,9,50,0.0878559271353137,0.0877985601578234,0.0888541313895091,0.0871093984787731,0.162499163007123,0.0372317282114663,0
4,10,50,0,0.0904696859003442,0.0940351869559822,0,0,0,0
5,5,50,0.083657682420704,0.0832126882317789,0.0910276726259856,0.0832547302924254,0.0713316665637274,0.0151813838610205,0.092785012215871
5,6,50,0.0893456894277548,0.0890708911724349,0.0877208202956315,0.0888327869687478,0.086294858505887,0.0225137959330693,0.106591165668602
5,7,50,0.0931662991840527,0.0934053130860067,0.0951540944613437,0.093043322616578,0.104463887253018,0.0308022910782369,0.122049893970645
5,8,50,0.0905439016163255,0.0903161031961576,0.0932161354201613,0.0898035553858998,0.1094480123037,0.0391373130844303,0.131200942294844
5,9,50,0,0.0923653202304422,0.0925822942746694,0,0,0,0.140546009531777
5,10,50,0,0.0893149296985482,0.0926104640142647,0,0,0,0.14235960565429
5,11,50,0,0.0865630890733571,0.089648476591464,0,0,0,0.146862388929879
6,6,50,0.0895020571913445,0.0894771786098436,0.092306370221161,0.0892952145051111,0.0837070983963546,0.0271944081177738,0
6,7,50,0.0892247078607698,0.0889769612145534,0.0905778585611852,0.0887032000079638,0.0875791753463592,0.0352766044922652,0
6,8,50,0.0926816018447745,0.0923455200582812,0.0929167654703524,0.0926019466205178,0.0991609804444806,0.0409478905647251,0
6,9,50,0,0.0941215292711519,0.0952349487069207,0,0,0,0
6,10,50,0,0.09210474436502782,0.0930460630929109,0,0,0,0
6,11,50,0,0.0923189623264273,0.09392131029714051,0,0,0,0
6,12,50,0,0.0881754100970062,0.0880210618390657,0,0,0,0
7,7,50,0.0880359624845544,0.0880632381980941,0.086523429428057,0.0883979852883859,0.085254724590514,0.0407456810682098,0.0917074709174264
7,8,50,0.0893791724832763,0.08909750166442879,0.0892130877842252,0.0878023119284547,0.0858067595435828,0.0416306139584489,0.10239146034025
7,9,50,0,0.09067600886861613,0.09255137880916176,0,0,0,0.10761100970678
7,10,50,0,0.0932053941351041,0.0912927160876573,0,0,0,0.114390402455093
7,11,50,0,0.08676555791990218,0.08706408498391224,0,0,0,0.117369467782302
7,12,50,0,0.09213791125852358,0.09327217700558565,0,0,0,0.126241255378209
7,13,50,0,0.09112386991473297,0.09123373051034461,0,0,0,0.123734459829911
8,8,50,0.0874329822170797,0.0872358514277592,0.088176612513114,0.0873119594110093,0.0847660320724435,0.0462939175807229,0
8,9,50,0,0.09066458816294971,0.08868221061880419,0,0,0,0
8,10,50,0,0.09200960380694864,0.09482607583108552,0,0,0,0
8,11,50,0,0.08994181427125435,0.09048705333233789,0,0,0,0
