"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.0733333333333333,0,0,0,0
"2",2,0.0629370629370629,0,0,0,0
"3",3,0.0900900900900901,0,0,0,0
"4",4,0.119760479041916,0,0,0,0
"5",5,0.118055555555556,0,0,0,0
"6",6,0.0909090909090909,0,0,0,0
"7",7,0.0636363636363636,0,0,0,0
"8",8,0.10655737704918,0,0,0,0
"9",9,0.0769230769230769,0,0,0,0
"10",10,0.101910828025478,0,0,0,0
"11",11,0.114754098360656,0,0,0,0
"12",12,0.0608695652173913,0,0,0,0
"13",13,0.129310344827586,0,0,0,0
"14",14,0.0916666666666667,0,0,0,0
"15",15,0.0792079207920792,0,0,0,0
"16",16,0.123188405797101,0,0,0,0
"17",17,0.099009900990099,0,0,0,0
"18",18,0.083969465648855,0,0,0,0
"19",19,0.14375,0,0,0,0
"20",20,0.0909090909090909,0,0,0,0
"21",21,0.0373831775700935,0,0,0,0
"22",22,0.0973451327433628,0,0,0,0
"23",23,0.0909090909090909,0,0,0,0
"24",24,0.0592592592592593,0,0,0,0
"25",25,0.13013698630137,0,0,0,0
"26",26,0.083969465648855,0,0,0,0
"27",27,0.102941176470588,0,0,0,0
"28",28,0.0840336134453782,0,0,0,0
"29",29,0.101351351351351,0,0,0,0
"30",30,0.0967741935483871,0,0,0,0
"31",31,0.109375,0,0,0,0
"32",32,0.120567375886525,0,0,0,0
"33",33,0.0701754385964912,0,0,0,0
"34",34,0.161073825503356,0,0,0,0
"35",35,0.12751677852349,0,0,0,0
"36",36,0.0588235294117647,0,0,0,0
"37",37,0.0993377483443709,0,0,0,0
"38",38,0.0695652173913043,0,0,0,0
"39",39,0.0666666666666667,0,0,0,0
"40",40,0.0808823529411765,0,0,0,0
"41",41,0.106382978723404,0,0,0,0
"42",42,0.0642201834862385,0,0,0,0
"43",43,0.0794701986754967,0,0,0,0
"44",44,0.094488188976378,0,0,0,0
"45",45,0.116279069767442,0,0,0,0
"46",46,0.0869565217391304,0,0,0,0
"47",47,0.137931034482759,0,0,0,0
"48",48,0.0845070422535211,0,0,0,0
"49",49,0.105960264900662,0,0,0,0
"50",50,0.062992125984252,0,0,0,0
