"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0.576,0.596,0,0,0
"2",2,0,0.562,0.602,0,0,0
"3",3,0,0.604,0.618,0,0,0
"4",4,0,0.598,0.618,0,0,0
"5",5,0,0.534,0.56,0,0,0
"6",6,0,0.592,0.616,0,0,0
"7",7,0,0.55,0.588,0,0,0
"8",8,0,0.61,0.608,0,0,0
"9",9,0,0.54,0.562,0,0,0
"10",10,0,0.566,0.568,0,0,0
"11",11,0,0.576,0.584,0,0,0
"12",12,0,0.576,0.586,0,0,0
"13",13,0,0.584,0.592,0,0,0
"14",14,0,0.57,0.604,0,0,0
"15",15,0,0.558,0.59,0,0,0
"16",16,0,0.586,0.606,0,0,0
"17",17,0,0.558,0.564,0,0,0
"18",18,0,0.558,0.588,0,0,0
"19",19,0,0.548,0.564,0,0,0
"20",20,0,0.564,0.586,0,0,0
"21",21,0,0.544,0.564,0,0,0
"22",22,0,0.6,0.622,0,0,0
"23",23,0,0.578,0.578,0,0,0
"24",24,0,0.554,0.606,0,0,0
"25",25,0,0.574,0.58,0,0,0
"26",26,0,0.578,0.602,0,0,0
"27",27,0,0.566,0.6,0,0,0
"28",28,0,0.554,0.57,0,0,0
"29",29,0,0.564,0.58,0,0,0
"30",30,0,0.61,0.612,0,0,0
"31",31,0,0.62,0.612,0,0,0
"32",32,0,0.562,0.578,0,0,0
"33",33,0,0.55,0.546,0,0,0
"34",34,0,0.542,0.556,0,0,0
"35",35,0,0.576,0.606,0,0,0
"36",36,0,0.58,0.576,0,0,0
"37",37,0,0.598,0.626,0,0,0
"38",38,0,0.572,0.582,0,0,0
"39",39,0,0.542,0.56,0,0,0
"40",40,0,0.548,0.566,0,0,0
"41",41,0,0.6,0.616,0,0,0
"42",42,0,0.586,0.608,0,0,0
"43",43,0,0.602,0.632,0,0,0
"44",44,0,0.57,0.59,0,0,0
"45",45,0,0.572,0.6,0,0,0
"46",46,0,0.558,0.61,0,0,0
"47",47,0,0.554,0.582,0,0,0
"48",48,0,0.548,0.564,0,0,0
"49",49,0,0.596,0.608,0,0,0
"50",50,0,0.574,0.576,0,0,0
