"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.032051282051282
"2",2,0,0,0,0,0,0.0245901639344262
"3",3,0,0,0,0,0,0.0222222222222222
"4",4,0,0,0,0,0,0.0193548387096774
"5",5,0,0,0,0,0,0.0144927536231884
"6",6,0,0,0,0,0,0.0165289256198347
"7",7,0,0,0,0,0,0.032967032967033
"8",8,0,0,0,0,0,0.051948051948052
"9",9,0,0,0,0,0,0.0134228187919463
"10",10,0,0,0,0,0,0.0151515151515152
"11",11,0,0,0,0,0,0.0476190476190476
"12",12,0,0,0,0,0,0.0317460317460317
"13",13,0,0,0,0,0,0.0632911392405063
"14",14,0,0,0,0,0,0.0512820512820513
"15",15,0,0,0,0,0,0.0402298850574713
"16",16,0,0,0,0,0,0.075
"17",17,0,0,0,0,0,0.0454545454545455
"18",18,0,0,0,0,0,0.0201342281879195
"19",19,0,0,0,0,0,0.0573248407643312
"20",20,0,0,0,0,0,0.0575539568345324
"21",21,0,0,0,0,0,0.036231884057971
"22",22,0,0,0,0,0,0.0381679389312977
"23",23,0,0,0,0,0,0.036231884057971
"24",24,0,0,0,0,0,0.0185185185185185
"25",25,0,0,0,0,0,0.00869565217391304
"26",26,0,0,0,0,0,0.00584795321637427
"27",27,0,0,0,0,0,0.0289855072463768
"28",28,0,0,0,0,0,0.0236220472440945
"29",29,0,0,0,0,0,0.00961538461538462
"30",30,0,0,0,0,0,0.0161290322580645
"31",31,0,0,0,0,0,0.0505050505050505
"32",32,0,0,0,0,0,0.0296296296296296
"33",33,0,0,0,0,0,0.0188679245283019
"34",34,0,0,0,0,0,0.0367647058823529
"35",35,0,0,0,0,0,0.0307692307692308
"36",36,0,0,0,0,0,0.0192307692307692
"37",37,0,0,0,0,0,0.0220588235294118
"38",38,0,0,0,0,0,0.0365853658536585
"39",39,0,0,0,0,0,0.0155038759689922
"40",40,0,0,0,0,0,0.0444444444444444
"41",41,0,0,0,0,0,0.0465116279069767
"42",42,0,0,0,0,0,0.0254237288135593
"43",43,0,0,0,0,0,0.0236220472440945
"44",44,0,0,0,0,0,0.0638297872340425
"45",45,0,0,0,0,0,0.00793650793650794
"46",46,0,0,0,0,0,0.0148148148148148
"47",47,0,0,0,0,0,0.0416666666666667
"48",48,0,0,0,0,0,0.0465116279069767
"49",49,0,0,0,0,0,0.0529411764705882
"50",50,0,0,0,0,0,0.0266666666666667
