"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.57
"2",2,0,0,0,0,0,0.496
"3",3,0,0,0,0,0,0.56
"4",4,0,0,0,0,0,0.56
"5",5,0,0,0,0,0,0.552
"6",6,0,0,0,0,0,0.504
"7",7,0,0,0,0,0,0.56
"8",8,0,0,0,0,0,0.512
"9",9,0,0,0,0,0,0.574
"10",10,0,0,0,0,0,0.55
"11",11,0,0,0,0,0,0.482
"12",12,0,0,0,0,0,0.556
"13",13,0,0,0,0,0,0.528
"14",14,0,0,0,0,0,0.562
"15",15,0,0,0,0,0,0.55
"16",16,0,0,0,0,0,0.544
"17",17,0,0,0,0,0,0.592
"18",18,0,0,0,0,0,0.574
"19",19,0,0,0,0,0,0.526
"20",20,0,0,0,0,0,0.514
"21",21,0,0,0,0,0,0.546
"22",22,0,0,0,0,0,0.518
"23",23,0,0,0,0,0,0.522
"24",24,0,0,0,0,0,0.546
"25",25,0,0,0,0,0,0.522
"26",26,0,0,0,0,0,0.5
"27",27,0,0,0,0,0,0.482
"28",28,0,0,0,0,0,0.544
"29",29,0,0,0,0,0,0.542
"30",30,0,0,0,0,0,0.502
"31",31,0,0,0,0,0,0.542
"32",32,0,0,0,0,0,0.492
"33",33,0,0,0,0,0,0.564
"34",34,0,0,0,0,0,0.496
"35",35,0,0,0,0,0,0.53
"36",36,0,0,0,0,0,0.494
"37",37,0,0,0,0,0,0.506
"38",38,0,0,0,0,0,0.538
"39",39,0,0,0,0,0,0.504
"40",40,0,0,0,0,0,0.542
"41",41,0,0,0,0,0,0.532
"42",42,0,0,0,0,0,0.536
"43",43,0,0,0,0,0,0.526
"44",44,0,0,0,0,0,0.5
"45",45,0,0,0,0,0,0.534
"46",46,0,0,0,0,0,0.528
"47",47,0,0,0,0,0,0.544
"48",48,0,0,0,0,0,0.546
"49",49,0,0,0,0,0,0.472
"50",50,0,0,0,0,0,0.528
