"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.688,0.686,0.708,0.686,0.692
"2",2,0.67,0.666,0.68,0.666,0.656
"3",3,0.698,0.698,0.706,0.698,0.686
"4",4,0.644,0.644,0.648,0.644,0.638
"5",5,0.598,0.598,0.634,0.6,0.586
"6",6,0.656,0.656,0.676,0.656,0.65
"7",7,0.676,0.67,0.682,0.67,0.656
"8",8,0.7,0.7,0.726,0.7,0.674
"9",9,0.658,0.658,0.68,0.658,0.662
"10",10,0.672,0.672,0.688,0.672,0.646
"11",11,0.664,0.664,0.68,0.664,0.656
"12",12,0.612,0.616,0.65,0.614,0.596
"13",13,0.626,0.628,0,0,0.614
"14",14,0.67,0.67,0.69,0.67,0.666
"15",15,0.668,0.668,0.672,0.668,0.654
"16",16,0.662,0.662,0.676,0.662,0.666
"17",17,0.656,0.656,0.678,0.656,0.652
"18",18,0.65,0.65,0.67,0.65,0.642
"19",19,0.652,0.652,0.67,0.652,0.65
"20",20,0.628,0.628,0.652,0.628,0.618
"21",21,0.702,0.698,0.714,0.702,0.69
"22",22,0.678,0.68,0.682,0.68,0.666
"23",23,0.674,0.674,0.7,0.674,0.656
"24",24,0.678,0.676,0.692,0.676,0.662
"25",25,0.668,0.672,0.682,0.67,0.66
"26",26,0.66,0.66,0.678,0.66,0.65
"27",27,0.696,0.696,0.708,0.696,0.684
"28",28,0.744,0.744,0.746,0.744,0.724
"29",29,0.668,0.668,0.676,0.668,0.652
"30",30,0.678,0.678,0.692,0.678,0.67
"31",31,0.668,0.668,0.694,0.668,0.664
"32",32,0.684,0.684,0.71,0.684,0.68
"33",33,0.674,0.672,0.692,0.674,0.672
"34",34,0.684,0.686,0.71,0.686,0.67
"35",35,0.658,0.658,0.682,0.658,0.644
"36",36,0.648,0.648,0.686,0.648,0.65
"37",37,0.702,0.702,0.712,0.702,0.686
"38",38,0.646,0.648,0.654,0.648,0.632
"39",39,0.662,0.66,0.676,0.662,0.638
"40",40,0.644,0.642,0.656,0.644,0.634
"41",41,0.718,0.716,0.728,0.718,0.702
"42",42,0.696,0.696,0.712,0.698,0.684
"43",43,0.648,0.648,0.666,0.648,0.65
"44",44,0.684,0.684,0.704,0.684,0.654
"45",45,0.726,0.728,0.732,0.728,0.716
"46",46,0.704,0.704,0.724,0.704,0.694
"47",47,0.678,0.678,0.704,0.678,0.66
"48",48,0.648,0.646,0.658,0.648,0.632
"49",49,0.626,0.626,0.644,0.628,0.614
"50",50,0.632,0.634,0.654,0.634,0.624
