"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.0735694822888283,0.0576923076923077,0,0,0,0
"2",2,0,0.0981912144702842,0.120906801007557,0,0,0,0
"3",3,0,0.106100795755968,0.0815217391304348,0,0,0,0
"4",4,0,0.0870712401055409,0.0809399477806789,0,0,0,0
"5",5,0,0.109660574412533,0.114503816793893,0,0,0,0
"6",6,0,0.101333333333333,0.0930232558139535,0,0,0,0
"7",7,0,0.111111111111111,0.0981912144702842,0,0,0,0
"8",8,0,0.072972972972973,0.0976863753213368,0,0,0,0
"9",9,0,0.0938337801608579,0.0904255319148936,0,0,0,0
"10",10,0,0.0792349726775956,0.082010582010582,0,0,0,0
"11",11,0,0.0909090909090909,0.0962962962962963,0,0,0,0
"12",12,0,0.108179419525066,0.133663366336634,0,0,0,0
"13",13,0,0.0634920634920635,0.0737913486005089,0,0,0,0
"14",14,0,0.0989583333333333,0.1075,0,0,0,0
"15",15,0,0.0714285714285714,0.0769230769230769,0,0,0,0
"16",16,0,0.101736972704715,0.0881612090680101,0,0,0,0
"17",17,0,0.0752089136490251,0.0938337801608579,0,0,0,0
"18",18,0,0.0718390804597701,0.0767045454545455,0,0,0,0
"19",19,0,0.0724233983286908,0.0804289544235925,0,0,0,0
"20",20,0,0.110824742268041,0.0982367758186398,0,0,0,0
"21",21,0,0.0694444444444444,0.081151832460733,0,0,0,0
"22",22,0,0.0985915492957746,0.126943005181347,0,0,0,0
"23",23,0,0.112860892388451,0.124050632911392,0,0,0,0
"24",24,0,0.100286532951289,0.0994475138121547,0,0,0,0
"25",25,0,0.10455764075067,0.106666666666667,0,0,0,0
"26",26,0,0.0756302521008403,0.0802139037433155,0,0,0,0
"27",27,0,0.0557103064066852,0.0738786279683377,0,0,0,0
"28",28,0,0.0835654596100279,0.0771349862258953,0,0,0,0
"29",29,0,0.120300751879699,0.129032258064516,0,0,0,0
"30",30,0,0.0994623655913978,0.103359173126615,0,0,0,0
"31",31,0,0.0894308943089431,0.0889487870619946,0,0,0,0
"32",32,0,0.101369863013699,0.107894736842105,0,0,0,0
"33",33,0,0.1,0.0906515580736544,0,0,0,0
"34",34,0,0.0966850828729282,0.0948509485094851,0,0,0,0
"35",35,0,0.0816326530612245,0.0962566844919786,0,0,0,0
"36",36,0,0.103960396039604,0.0987654320987654,0,0,0,0
"37",37,0,0.0864864864864865,0.0855614973262032,0,0,0,0
"38",38,0,0.0906666666666667,0.078740157480315,0,0,0,0
"39",39,0,0.0783289817232376,0.0717948717948718,0,0,0,0
"40",40,0,0.0911528150134048,0,0,0,0,0
"41",41,0,0.0785907859078591,0.0866141732283465,0,0,0,0
"42",42,0,0.0737704918032787,0.0584958217270195,0,0,0,0
"43",43,0,0.102094240837696,0.083989501312336,0,0,0,0
"44",44,0,0.0991957104557641,0.118556701030928,0,0,0,0
"45",45,0,0.0690690690690691,0.0845481049562682,0,0,0,0
"46",46,0,0.0916230366492147,0.0814249363867685,0,0,0,0
"47",47,0,0.0866141732283465,0.0693333333333333,0,0,0,0
"48",48,0,0.0964187327823691,0.0831024930747922,0,0,0,0
"49",49,0,0.108571428571429,0.118598382749326,0,0,0,0
"50",50,0,0.0862068965517241,0.105121293800539,0,0,0,0
