"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test"
"1",1,0,0.42,0.556,0,0.312,0.008,0.426
"2",2,0,0.478,0.58,0,0.342,0,0.478
"3",3,0,0.426,0.554,0,0.284,0,0.426
"4",4,0,0.416,0.514,0,0.26,0.002,0.42
"5",5,0,0.492,0.572,0,0.308,0,0.492
"6",6,0,0.45,0.532,0,0.276,0,0.452
"7",7,0,0.438,0.518,0,0.274,0,0.438
"8",8,0,0.472,0.56,0,0.296,0,0.468
"9",9,0,0.446,0.57,0,0.32,0,0.448
"10",10,0,0.434,0.566,0,0.32,0,0.434
"11",11,0,0.414,0.536,0,0.312,0,0.416
"12",12,0,0.38,0.486,0,0.244,0,0.38
"13",13,0,0.468,0.558,0,0.322,0,0.47
"14",14,0,0.44,0.552,0,0.32,0,0.444
"15",15,0,0.486,0.582,0,0.292,0.006,0.486
"16",16,0,0.378,0.484,0,0.242,0.002,0.378
"17",17,0,0.46,0.57,0,0.368,0.004,0.46
"18",18,0,0.438,0.556,0,0.29,0,0.436
"19",19,0,0.446,0.532,0,0.296,0,0.45
"20",20,0,0.446,0.556,0,0.268,0,0.442
"21",21,0,0.422,0.524,0,0.28,0,0.422
"22",22,0,0.446,0.552,0,0.304,0,0.448
"23",23,0,0.402,0.552,0,0.282,0,0.408
"24",24,0,0.456,0.56,0,0.316,0,0.456
"25",25,0,0.436,0.526,0,0.25,0,0.438
"26",26,0,0.468,0.576,0,0.294,0,0.468
"27",27,0,0.482,0.57,0,0.332,0,0.482
"28",28,0,0.446,0.53,0,0.292,0,0.446
"29",29,0,0.44,0.532,0,0.258,0,0.444
"30",30,0,0.412,0.502,0,0.278,0.002,0.412
"31",31,0,0.45,0.568,0,0.35,0,0.444
"32",32,0,0.454,0.586,0,0.312,0,0.454
"33",33,0,0.432,0.554,0,0.322,0,0.444
"34",34,0,0.45,0.562,0,0.268,0,0.466
"35",35,0,0.424,0.544,0,0.298,0.002,0.432
"36",36,0,0.404,0.524,0,0.254,0,0.408
"37",37,0,0.474,0.566,0,0.284,0,0.474
"38",38,0,0.43,0.56,0,0.272,0,0.432
"39",39,0,0.452,0.576,0,0.328,0,0.46
"40",40,0,0.436,0.536,0,0.292,0,0.438
"41",41,0,0.482,0.548,0,0.28,0,0.48
"42",42,0,0.41,0.52,0,0.266,0,0.414
"43",43,0,0.454,0.556,0,0.282,0,0.452
"44",44,0,0.424,0.558,0,0.308,0,0.42
"45",45,0,0.412,0.534,0,0.254,0,0.412
"46",46,0,0.418,0.572,0,0.33,0,0.42
"47",47,0,0.41,0.544,0,0.3,0,0.414
"48",48,0,0.434,0.572,0,0.316,0.002,0.44
"49",49,0,0.354,0.494,0,0.23,0,0.356
"50",50,0,0.448,0.524,0,0.316,0.002,0.456
