"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.135838150289017
"2",2,0,0,0,0,0,0,0,0.118012422360248
"3",3,0,0,0,0,0,0,0,0.0934579439252336
"4",4,0,0,0,0,0,0,0,0.111475409836066
"5",5,0,0,0,0,0,0,0,0.0915032679738562
"6",6,0,0,0,0,0,0,0,0.0974842767295598
"7",7,0,0,0,0,0,0,0,0.075801749271137
"8",8,0,0,0,0,0,0,0,0.101226993865031
"9",9,0,0,0,0,0,0,0,0.126182965299685
"10",10,0,0,0,0,0,0,0,0.117647058823529
"11",11,0,0,0,0,0,0,0,0.0949152542372881
"12",12,0,0,0,0,0,0,0,0.0836012861736334
"13",13,0,0,0,0,0,0,0,0.0529801324503311
"14",14,0,0,0,0,0,0,0,0.114114114114114
"15",15,0,0,0,0,0,0,0,0.151515151515152
"16",16,0,0,0,0,0,0,0,0.105431309904153
"17",17,0,0,0,0,0,0,0,0.132307692307692
"18",18,0,0,0,0,0,0,0,0.107462686567164
"19",19,0,0,0,0,0,0,0,0.11
"20",20,0,0,0,0,0,0,0,0.0830670926517572
"21",21,0,0,0,0,0,0,0,0.138888888888889
"22",22,0,0,0,0,0,0,0,0.100591715976331
"23",23,0,0,0,0,0,0,0,0.115384615384615
"24",24,0,0,0,0,0,0,0,0.105590062111801
"25",25,0,0,0,0,0,0,0,0.11178247734139
"26",26,0,0,0,0,0,0,0,0.125
"27",27,0,0,0,0,0,0,0,0.108024691358025
"28",28,0,0,0,0,0,0,0,0.0802675585284281
"29",29,0,0,0,0,0,0,0,0.135294117647059
"30",30,0,0,0,0,0,0,0,0.116207951070336
"31",31,0,0,0,0,0,0,0,0.105263157894737
"32",32,0,0,0,0,0,0,0,0.0649350649350649
"33",33,0,0,0,0,0,0,0,0.126934984520124
"34",34,0,0,0,0,0,0,0,0.101851851851852
"35",35,0,0,0,0,0,0,0,0.106060606060606
"36",36,0,0,0,0,0,0,0,0.0920245398773006
"37",37,0,0,0,0,0,0,0,0.0744336569579288
"38",38,0,0,0,0,0,0,0,0.125
"39",39,0,0,0,0,0,0,0,0.0877742946708464
"40",40,0,0,0,0,0,0,0,0.111464968152866
"41",41,0,0,0,0,0,0,0,0.11214953271028
"42",42,0,0,0,0,0,0,0,0.0825396825396825
"43",43,0,0,0,0,0,0,0,0.115987460815047
"44",44,0,0,0,0,0,0,0,0.108761329305136
"45",45,0,0,0,0,0,0,0,0.12111801242236
"46",46,0,0,0,0,0,0,0,0.0986394557823129
"47",47,0,0,0,0,0,0,0,0.0953846153846154
"48",48,0,0,0,0,0,0,0,0.123028391167192
"49",49,0,0,0,0,0,0,0,0.0971786833855799
"50",50,0,0,0,0,0,0,0,0.102893890675241
