"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.574
"2",2,0,0,0,0,0,0,0,0.598
"3",3,0,0,0,0,0,0,0,0.594
"4",4,0,0,0,0,0,0,0,0.596
"5",5,0,0,0,0,0,0,0,0.594
"6",6,0,0,0,0,0,0,0,0.558
"7",7,0,0,0,0,0,0,0,0.586
"8",8,0,0,0,0,0,0,0,0.586
"9",9,0,0,0,0,0,0,0,0.56
"10",10,0,0,0,0,0,0,0,0.568
"11",11,0,0,0,0,0,0,0,0.562
"12",12,0,0,0,0,0,0,0,0.6
"13",13,0,0,0,0,0,0,0,0.57
"14",14,0,0,0,0,0,0,0,0.626
"15",15,0,0,0,0,0,0,0,0.57
"16",16,0,0,0,0,0,0,0,0.594
"17",17,0,0,0,0,0,0,0,0.568
"18",18,0,0,0,0,0,0,0,0.584
"19",19,0,0,0,0,0,0,0,0.548
"20",20,0,0,0,0,0,0,0,0.552
"21",21,0,0,0,0,0,0,0,0.57
"22",22,0,0,0,0,0,0,0,0.576
"23",23,0,0,0,0,0,0,0,0.536
"24",24,0,0,0,0,0,0,0,0.558
"25",25,0,0,0,0,0,0,0,0.556
"26",26,0,0,0,0,0,0,0,0.542
"27",27,0,0,0,0,0,0,0,0.606
"28",28,0,0,0,0,0,0,0,0.604
"29",29,0,0,0,0,0,0,0,0.57
"30",30,0,0,0,0,0,0,0,0.57
"31",31,0,0,0,0,0,0,0,0.58
"32",32,0,0,0,0,0,0,0,0.58
"33",33,0,0,0,0,0,0,0,0.582
"34",34,0,0,0,0,0,0,0,0.586
"35",35,0,0,0,0,0,0,0,0.56
"36",36,0,0,0,0,0,0,0,0.596
"37",37,0,0,0,0,0,0,0,0.57
"38",38,0,0,0,0,0,0,0,0.538
"39",39,0,0,0,0,0,0,0,0.598
"40",40,0,0,0,0,0,0,0,0.594
"41",41,0,0,0,0,0,0,0,0.554
"42",42,0,0,0,0,0,0,0,0.588
"43",43,0,0,0,0,0,0,0,0.598
"44",44,0,0,0,0,0,0,0,0.596
"45",45,0,0,0,0,0,0,0,0.568
"46",46,0,0,0,0,0,0,0,0.562
"47",47,0,0,0,0,0,0,0,0.59
"48",48,0,0,0,0,0,0,0,0.596
"49",49,0,0,0,0,0,0,0,0.59
"50",50,0,0,0,0,0,0,0,0.538
