"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.0880681818181818
"2",2,0,0,0,0,0,0,0,0,0.119760479041916
"3",3,0,0,0,0,0,0,0,0,0.0906593406593407
"4",4,0,0,0,0,0,0,0,0,0.0859598853868195
"5",5,0,0,0,0,0,0,0,0,0.103260869565217
"6",6,0,0,0,0,0,0,0,0,0.0701754385964912
"7",7,0,0,0,0,0,0,0,0,0.0865921787709497
"8",8,0,0,0,0,0,0,0,0,0.106741573033708
"9",9,0,0,0,0,0,0,0,0,0.104395604395604
"10",10,0,0,0,0,0,0,0,0,0.0765171503957784
"11",11,0,0,0,0,0,0,0,0,0.0789473684210526
"12",12,0,0,0,0,0,0,0,0,0.0808383233532934
"13",13,0,0,0,0,0,0,0,0,0.0725075528700906
"14",14,0,0,0,0,0,0,0,0,0.0751445086705202
"15",15,0,0,0,0,0,0,0,0,0.112021857923497
"16",16,0,0,0,0,0,0,0,0,0.0833333333333333
"17",17,0,0,0,0,0,0,0,0,0.0744047619047619
"18",18,0,0,0,0,0,0,0,0,0.0666666666666667
"19",19,0,0,0,0,0,0,0,0,0.091644204851752
"20",20,0,0,0,0,0,0,0,0,0.10498687664042
"21",21,0,0,0,0,0,0,0,0,0.0726744186046512
"22",22,0,0,0,0,0,0,0,0,0.074585635359116
"23",23,0,0,0,0,0,0,0,0,0.0909090909090909
"24",24,0,0,0,0,0,0,0,0,0.108262108262108
"25",25,0,0,0,0,0,0,0,0,0.0735294117647059
"26",26,0,0,0,0,0,0,0,0,0.110169491525424
"27",27,0,0,0,0,0,0,0,0,0.0821529745042493
"28",28,0,0,0,0,0,0,0,0,0.107816711590297
"29",29,0,0,0,0,0,0,0,0,0.0809248554913295
"30",30,0,0,0,0,0,0,0,0,0.10632183908046
"31",31,0,0,0,0,0,0,0,0,0.04375
"32",32,0,0,0,0,0,0,0,0,0.0932203389830508
"33",33,0,0,0,0,0,0,0,0,0.0869565217391304
"34",34,0,0,0,0,0,0,0,0,0.0803571428571429
"35",35,0,0,0,0,0,0,0,0,0.100286532951289
"36",36,0,0,0,0,0,0,0,0,0.0939226519337017
"37",37,0,0,0,0,0,0,0,0,0.0753012048192771
"38",38,0,0,0,0,0,0,0,0,0.076271186440678
"39",39,0,0,0,0,0,0,0,0,0.0755287009063444
"40",40,0,0,0,0,0,0,0,0,0.0681818181818182
"41",41,0,0,0,0,0,0,0,0,0.098314606741573
"42",42,0,0,0,0,0,0,0,0,0.0807799442896936
"43",43,0,0,0,0,0,0,0,0,0.0863509749303621
"44",44,0,0,0,0,0,0,0,0,0.0806916426512968
"45",45,0,0,0,0,0,0,0,0,0.112426035502959
"46",46,0,0,0,0,0,0,0,0,0.0911764705882353
"47",47,0,0,0,0,0,0,0,0,0.0650887573964497
"48",48,0,0,0,0,0,0,0,0,0.0756756756756757
"49",49,0,0,0,0,0,0,0,0,0.107049608355091
"50",50,0,0,0,0,0,0,0,0,0.0764872521246459
