"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.52,0.576,0,0.5,0.408,0.52
"2",2,0,0.6,0.632,0,0.576,0.482,0.6
"3",3,0,0.554,0.61,0,0.532,0.458,0.554
"4",4,0,0.602,0.64,0,0.582,0.486,0.602
"5",5,0,0.578,0.64,0,0.55,0.478,0.578
"6",6,0,0.588,0.62,0,0.548,0.424,0.588
"7",7,0,0.608,0.666,0,0.584,0.504,0.608
"8",8,0,0.566,0.606,0,0.546,0.468,0.566
"9",9,0,0.566,0.642,0,0.532,0.474,0.566
"10",10,0,0.562,0.628,0,0.55,0.47,0.564
"11",11,0,0.59,0.638,0,0.568,0.498,0.59
"12",12,0,0.584,0.634,0,0.568,0.478,0.584
"13",13,0,0.608,0.664,0,0.588,0.504,0.608
"14",14,0,0.574,0.622,0,0.548,0.46,0.574
"15",15,0,0.558,0.624,0,0.538,0.466,0.558
"16",16,0,0.564,0.63,0,0.55,0.466,0.562
"17",17,0,0.54,0.598,0,0.528,0.44,0.54
"18",18,0,0.606,0.648,0,0.584,0.51,0.606
"19",19,0,0.562,0.628,0,0.554,0.48,0.562
"20",20,0,0.566,0.614,0,0.544,0.418,0.566
"21",21,0,0.58,0.632,0,0.564,0.46,0.578
"22",22,0,0.556,0.62,0,0.546,0.462,0.556
"23",23,0,0.576,0.612,0,0.534,0.448,0.576
"24",24,0,0.55,0.6,0,0.53,0.442,0.55
"25",25,0,0.562,0.618,0,0.538,0.446,0.562
"26",26,0,0.596,0.66,0,0.586,0.506,0.598
"27",27,0,0.588,0.632,0,0.562,0.468,0.59
"28",28,0,0.59,0.63,0,0.568,0.508,0.59
"29",29,0,0.578,0.64,0,0.564,0.504,0.578
"30",30,0,0.562,0.644,0,0.552,0.454,0.562
"31",31,0,0.618,0.668,0,0.598,0.492,0.618
"32",32,0,0.578,0.606,0,0.552,0.456,0.578
"33",33,0,0.646,0.708,0,0.63,0.546,0.646
"34",34,0,0.6,0.656,0,0.588,0.486,0.6
"35",35,0,0.592,0.616,0,0.56,0.458,0.592
"36",36,0,0.55,0.6,0,0.532,0.446,0.554
"37",37,0,0.602,0.66,0,0.588,0.52,0.602
"38",38,0,0.582,0.626,0,0.576,0.494,0.582
"39",39,0,0.54,0.58,0,0.51,0.418,0.542
"40",40,0,0.606,0.65,0,0.594,0.498,0.606
"41",41,0,0.588,0.648,0,0.568,0.466,0.588
"42",42,0,0.576,0.602,0,0.548,0.426,0.578
"43",43,0,0.572,0.626,0,0.548,0.466,0.572
"44",44,0,0.592,0.636,0,0.57,0.486,0.592
"45",45,0,0.582,0.636,0,0.566,0.492,0.582
"46",46,0,0.574,0.648,0,0.552,0.474,0.574
"47",47,0,0.52,0.586,0,0.498,0.414,0.52
"48",48,0,0.568,0.632,0,0.542,0.444,0.568
"49",49,0,0.604,0.65,0,0.588,0.512,0.606
"50",50,0,0.574,0.62,0,0.554,0.452,0.574
