"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.648
"2",2,0,0,0,0,0,0,0,0,0.636
"3",3,0,0,0,0,0,0,0,0,0.678
"4",4,0,0,0,0,0,0,0,0,0.71
"5",5,0,0,0,0,0,0,0,0,0.682
"6",6,0,0,0,0,0,0,0,0,0.708
"7",7,0,0,0,0,0,0,0,0,0.7
"8",8,0,0,0,0,0,0,0,0,0.66
"9",9,0,0,0,0,0,0,0,0,0.65
"10",10,0,0,0,0,0,0,0,0,0.69
"11",11,0,0,0,0,0,0,0,0,0.708
"12",12,0,0,0,0,0,0,0,0,0.654
"13",13,0,0,0,0,0,0,0,0,0.66
"14",14,0,0,0,0,0,0,0,0,0.646
"15",15,0,0,0,0,0,0,0,0,0.7
"16",16,0,0,0,0,0,0,0,0,0.708
"17",17,0,0,0,0,0,0,0,0,0.67
"18",18,0,0,0,0,0,0,0,0,0.694
"19",19,0,0,0,0,0,0,0,0,0.684
"20",20,0,0,0,0,0,0,0,0,0.684
"21",21,0,0,0,0,0,0,0,0,0.706
"22",22,0,0,0,0,0,0,0,0,0.712
"23",23,0,0,0,0,0,0,0,0,0.69
"24",24,0,0,0,0,0,0,0,0,0.728
"25",25,0,0,0,0,0,0,0,0,0.652
"26",26,0,0,0,0,0,0,0,0,0.672
"27",27,0,0,0,0,0,0,0,0,0.696
"28",28,0,0,0,0,0,0,0,0,0.676
"29",29,0,0,0,0,0,0,0,0,0.678
"30",30,0,0,0,0,0,0,0,0,0.684
"31",31,0,0,0,0,0,0,0,0,0.686
"32",32,0,0,0,0,0,0,0,0,0.696
"33",33,0,0,0,0,0,0,0,0,0.668
"34",34,0,0,0,0,0,0,0,0,0.694
"35",35,0,0,0,0,0,0,0,0,0.676
"36",36,0,0,0,0,0,0,0,0,0.672
"37",37,0,0,0,0,0,0,0,0,0.664
"38",38,0,0,0,0,0,0,0,0,0.684
"39",39,0,0,0,0,0,0,0,0,0.668
"40",40,0,0,0,0,0,0,0,0,0.72
"41",41,0,0,0,0,0,0,0,0,0.706
"42",42,0,0,0,0,0,0,0,0,0.702
"43",43,0,0,0,0,0,0,0,0,0.684
"44",44,0,0,0,0,0,0,0,0,0.642
"45",45,0,0,0,0,0,0,0,0,0.716
"46",46,0,0,0,0,0,0,0,0,0.712
"47",47,0,0,0,0,0,0,0,0,0.682
"48",48,0,0,0,0,0,0,0,0,0.702
"49",49,0,0,0,0,0,0,0,0,0.724
"50",50,0,0,0,0,0,0,0,0,0.702
