"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0,0.454,0.51,0.452,0.25
"2",2,0,0.456,0.516,0.436,0.24
"3",3,0,0.436,0.52,0.434,0.266
"4",4,0,0.534,0.592,0.526,0.358
"5",5,0,0.432,0.47,0.432,0.266
"6",6,0,0.524,0.598,0.518,0.364
"7",7,0,0.442,0.516,0.444,0.286
"8",8,0,0.414,0.5,0.408,0.26
"9",9,0,0.424,0.52,0.426,0.298
"10",10,0,0.484,0.554,0.484,0.326
"11",11,0,0.414,0.492,0.41,0.288
"12",12,0,0.432,0.522,0.432,0.266
"13",13,0,0.444,0.518,0.44,0.308
"14",14,0,0.448,0.514,0.446,0.272
"15",15,0,0.478,0.548,0.478,0.314
"16",16,0,0.394,0.51,0.392,0.262
"17",17,0,0.418,0.494,0.418,0.246
"18",18,0,0.452,0.528,0.45,0.272
"19",19,0,0.408,0.496,0.406,0.292
"20",20,0,0.422,0.536,0.424,0.292
"21",21,0,0.442,0.522,0.44,0.276
"22",22,0,0.474,0.53,0.468,0.304
"23",23,0,0.434,0.516,0.434,0.288
"24",24,0,0.43,0.488,0.426,0.268
"25",25,0,0.38,0.452,0.38,0.254
"26",26,0,0.42,0.494,0.418,0.3
"27",27,0,0.448,0.492,0.446,0.29
"28",28,0,0.404,0.494,0.402,0.216
"29",29,0,0.428,0.496,0.428,0.236
"30",30,0,0.442,0.534,0.44,0.308
"31",31,0,0.468,0.538,0.468,0.302
"32",32,0,0.454,0.516,0.452,0.302
"33",33,0,0.438,0.516,0.438,0.258
"34",34,0,0.434,0.514,0.434,0.256
"35",35,0,0.448,0.544,0.446,0.252
"36",36,0,0.404,0.494,0.404,0.226
"37",37,0,0.382,0.482,0.382,0.208
"38",38,0,0.486,0.53,0.486,0.298
"39",39,0,0.48,0.554,0.476,0.306
"40",40,0,0.428,0.5,0.422,0.238
"41",41,0,0.432,0.496,0.432,0.272
"42",42,0,0.482,0.584,0.484,0.286
"43",43,0,0.36,0.42,0.352,0.218
"44",44,0,0.426,0.512,0.43,0.25
"45",45,0,0.416,0.5,0.408,0.228
"46",46,0,0.432,0.504,0.43,0.254
"47",47,0,0.396,0.508,0.396,0.27
"48",48,0,0.422,0.496,0.418,0.26
"49",49,0,0.416,0.5,0.418,0.298
"50",50,0,0.426,0.494,0.428,0.276
