"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0
"2",2,0,0,0,0,0,0
"3",3,0,0,0,0,0,0
"4",4,0,0,0,0,0,0
"5",5,0,0,0,0,0,0.002
"6",6,0,0,0,0,0,0
"7",7,0,0,0,0,0,0
"8",8,0,0,0,0,0,0
"9",9,0,0,0,0,0,0
"10",10,0,0,0,0,0,0
"11",11,0,0,0,0,0,0
"12",12,0,0,0,0,0,0.006
"13",13,0,0,0,0,0,0
"14",14,0,0,0,0,0,0
"15",15,0,0,0,0,0,0
"16",16,0,0,0,0,0,0.002
"17",17,0,0,0,0,0,0
"18",18,0,0,0,0,0,0
"19",19,0,0,0,0,0,0.024
"20",20,0,0,0,0,0,0
"21",21,0,0,0,0,0,0
"22",22,0,0,0,0,0,0.008
"23",23,0,0,0,0,0,0
"24",24,0,0,0,0,0,0
"25",25,0,0,0,0,0,0
"26",26,0,0,0,0,0,0.004
"27",27,0,0,0,0,0,0
"28",28,0,0,0,0,0,0.018
"29",29,0,0,0,0,0,0
"30",30,0,0,0,0,0,0.01
"31",31,0,0,0,0,0,0.004
"32",32,0,0,0,0,0,0
"33",33,0,0,0,0,0,0.002
"34",34,0,0,0,0,0,0.01
"35",35,0,0,0,0,0,0.002
"36",36,0,0,0,0,0,0.008
"37",37,0,0,0,0,0,0.002
"38",38,0,0,0,0,0,0
"39",39,0,0,0,0,0,0.004
"40",40,0,0,0,0,0,0.002
"41",41,0,0,0,0,0,0.002
"42",42,0,0,0,0,0,0
"43",43,0,0,0,0,0,0
"44",44,0,0,0,0,0,0
"45",45,0,0,0,0,0,0.004
"46",46,0,0,0,0,0,0
"47",47,0,0,0,0,0,0
"48",48,0,0,0,0,0,0
"49",49,0,0,0,0,0,0
"50",50,0,0,0,0,0,0.004
