"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0,0,0,0,0.452,0
"2",2,0,0,0,0,0,0.46,0
"3",3,0,0,0,0,0,0.494,0
"4",4,0,0,0,0,0,0.436,0
"5",5,0,0,0,0,0,0.446,0
"6",6,0,0,0,0,0,0.416,0
"7",7,0,0,0,0,0,0.45,0
"8",8,0,0,0,0,0,0.444,0
"9",9,0,0,0,0,0,0.44,0
"10",10,0,0,0,0,0,0.46,0
"11",11,0,0,0,0,0,0.41,0
"12",12,0,0,0,0,0,0.414,0
"13",13,0,0,0,0,0,0.468,0
"14",14,0,0,0,0,0,0.454,0
"15",15,0,0,0,0,0,0.454,0
"16",16,0,0,0,0,0,0.42,0
"17",17,0,0,0,0,0,0.454,0
"18",18,0,0,0,0,0,0.482,0
"19",19,0,0,0,0,0,0.478,0
"20",20,0,0,0,0,0,0.44,0
"21",21,0,0,0,0,0,0.49,0
"22",22,0,0,0,0,0,0.478,0
"23",23,0,0,0,0,0,0.396,0
"24",24,0,0,0,0,0,0.444,0
"25",25,0,0,0,0,0,0.428,0
"26",26,0,0,0,0,0,0.434,0
"27",27,0,0,0,0,0,0.43,0
"28",28,0,0,0,0,0,0.492,0
"29",29,0,0,0,0,0,0.484,0
"30",30,0,0,0,0,0,0.47,0
"31",31,0,0,0,0,0,0.502,0
"32",32,0,0,0,0,0,0.418,0
"33",33,0,0,0,0,0,0.412,0
"34",34,0,0,0,0,0,0.4,0
"35",35,0,0,0,0,0,0.464,0
"36",36,0,0,0,0,0,0.464,0
"37",37,0,0,0,0,0,0.428,0
"38",38,0,0,0,0,0,0.456,0
"39",39,0,0,0,0,0,0.498,0
"40",40,0,0,0,0,0,0.464,0
"41",41,0,0,0,0,0,0.43,0
"42",42,0,0,0,0,0,0.446,0
"43",43,0,0,0,0,0,0.402,0
"44",44,0,0,0,0,0,0.442,0
"45",45,0,0,0,0,0,0.458,0
"46",46,0,0,0,0,0,0.46,0
"47",47,0,0,0,0,0,0.476,0
"48",48,0,0,0,0,0,0.44,0
"49",49,0,0,0,0,0,0.42,0
"50",50,0,0,0,0,0,0.414,0
