"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.672
"2",2,0,0,0,0,0,0,0,0.664
"3",3,0,0,0,0,0,0,0,0.636
"4",4,0,0,0,0,0,0,0,0.644
"5",5,0,0,0,0,0,0,0,0.662
"6",6,0,0,0,0,0,0,0,0.612
"7",7,0,0,0,0,0,0,0,0.652
"8",8,0,0,0,0,0,0,0,0.672
"9",9,0,0,0,0,0,0,0,0.634
"10",10,0,0,0,0,0,0,0,0.624
"11",11,0,0,0,0,0,0,0,0.656
"12",12,0,0,0,0,0,0,0,0.678
"13",13,0,0,0,0,0,0,0,0.646
"14",14,0,0,0,0,0,0,0,0.654
"15",15,0,0,0,0,0,0,0,0.672
"16",16,0,0,0,0,0,0,0,0.698
"17",17,0,0,0,0,0,0,0,0.66
"18",18,0,0,0,0,0,0,0,0.654
"19",19,0,0,0,0,0,0,0,0.638
"20",20,0,0,0,0,0,0,0,0.67
"21",21,0,0,0,0,0,0,0,0.65
"22",22,0,0,0,0,0,0,0,0.65
"23",23,0,0,0,0,0,0,0,0.618
"24",24,0,0,0,0,0,0,0,0.662
"25",25,0,0,0,0,0,0,0,0.648
"26",26,0,0,0,0,0,0,0,0.662
"27",27,0,0,0,0,0,0,0,0.672
"28",28,0,0,0,0,0,0,0,0.714
"29",29,0,0,0,0,0,0,0,0.648
"30",30,0,0,0,0,0,0,0,0.652
"31",31,0,0,0,0,0,0,0,0.672
"32",32,0,0,0,0,0,0,0,0.664
"33",33,0,0,0,0,0,0,0,0.682
"34",34,0,0,0,0,0,0,0,0.646
"35",35,0,0,0,0,0,0,0,0.648
"36",36,0,0,0,0,0,0,0,0.63
"37",37,0,0,0,0,0,0,0,0.636
"38",38,0,0,0,0,0,0,0,0.71
"39",39,0,0,0,0,0,0,0,0.632
"40",40,0,0,0,0,0,0,0,0.66
"41",41,0,0,0,0,0,0,0,0.656
"42",42,0,0,0,0,0,0,0,0.652
"43",43,0,0,0,0,0,0,0,0.606
"44",44,0,0,0,0,0,0,0,0.676
"45",45,0,0,0,0,0,0,0,0.618
"46",46,0,0,0,0,0,0,0,0.628
"47",47,0,0,0,0,0,0,0,0.67
"48",48,0,0,0,0,0,0,0,0.68
"49",49,0,0,0,0,0,0,0,0.638
"50",50,0,0,0,0,0,0,0,0.638
