"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.183673469387755
"2",2,0,0,0,0,0,0,0,0,0.22972972972973
"3",3,0,0,0,0,0,0,0,0,0.170792079207921
"4",4,0,0,0,0,0,0,0,0,0.226244343891403
"5",5,0,0,0,0,0,0,0,0,0.204819277108434
"6",6,0,0,0,0,0,0,0,0,0.199546485260771
"7",7,0,0,0,0,0,0,0,0,0.220224719101124
"8",8,0,0,0,0,0,0,0,0,0.202439024390244
"9",9,0,0,0,0,0,0,0,0,0.183823529411765
"10",10,0,0,0,0,0,0,0,0,0.202469135802469
"11",11,0,0,0,0,0,0,0,0,0.183257918552036
"12",12,0,0,0,0,0,0,0,0,0.228971962616822
"13",13,0,0,0,0,0,0,0,0,0.209051724137931
"14",14,0,0,0,0,0,0,0,0,0.170792079207921
"15",15,0,0,0,0,0,0,0,0,0.21889400921659
"16",16,0,0,0,0,0,0,0,0,0.206208425720621
"17",17,0,0,0,0,0,0,0,0,0.198630136986301
"18",18,0,0,0,0,0,0,0,0,0.230232558139535
"19",19,0,0,0,0,0,0,0,0,0.192118226600985
"20",20,0,0,0,0,0,0,0,0,0.19672131147541
"21",21,0,0,0,0,0,0,0,0,0.221218961625282
"22",22,0,0,0,0,0,0,0,0,0.198660714285714
"23",23,0,0,0,0,0,0,0,0,0.219114219114219
"24",24,0,0,0,0,0,0,0,0,0.202797202797203
"25",25,0,0,0,0,0,0,0,0,0.225653206650831
"26",26,0,0,0,0,0,0,0,0,0.200934579439252
"27",27,0,0,0,0,0,0,0,0,0.238938053097345
"28",28,0,0,0,0,0,0,0,0,0.176755447941889
"29",29,0,0,0,0,0,0,0,0,0.197619047619048
"30",30,0,0,0,0,0,0,0,0,0.20501138952164
"31",31,0,0,0,0,0,0,0,0,0.177615571776156
"32",32,0,0,0,0,0,0,0,0,0.193704600484261
"33",33,0,0,0,0,0,0,0,0,0.235421166306695
"34",34,0,0,0,0,0,0,0,0,0.159144893111639
"35",35,0,0,0,0,0,0,0,0,0.186868686868687
"36",36,0,0,0,0,0,0,0,0,0.200445434298441
"37",37,0,0,0,0,0,0,0,0,0.240362811791383
"38",38,0,0,0,0,0,0,0,0,0.222222222222222
"39",39,0,0,0,0,0,0,0,0,0.202439024390244
"40",40,0,0,0,0,0,0,0,0,0.217090069284065
"41",41,0,0,0,0,0,0,0,0,0.191387559808612
"42",42,0,0,0,0,0,0,0,0,0.225728155339806
"43",43,0,0,0,0,0,0,0,0,0.179310344827586
"44",44,0,0,0,0,0,0,0,0,0.193467336683417
"45",45,0,0,0,0,0,0,0,0,0.165071770334928
"46",46,0,0,0,0,0,0,0,0,0.155612244897959
"47",47,0,0,0,0,0,0,0,0,0.210045662100457
"48",48,0,0,0,0,0,0,0,0,0.1875
"49",49,0,0,0,0,0,0,0,0,0.218978102189781
"50",50,0,0,0,0,0,0,0,0,0.172811059907834
