"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE","EV2_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0.684
"2",2,0,0,0,0,0,0,0,0,0.696
"3",3,0,0,0,0,0,0,0,0,0.682
"4",4,0,0,0,0,0,0,0,0,0.712
"5",5,0,0,0,0,0,0,0,0,0.688
"6",6,0,0,0,0,0,0,0,0,0.68
"7",7,0,0,0,0,0,0,0,0,0.648
"8",8,0,0,0,0,0,0,0,0,0.7
"9",9,0,0,0,0,0,0,0,0,0.708
"10",10,0,0,0,0,0,0,0,0,0.696
"11",11,0,0,0,0,0,0,0,0,0.722
"12",12,0,0,0,0,0,0,0,0,0.684
"13",13,0,0,0,0,0,0,0,0,0.698
"14",14,0,0,0,0,0,0,0,0,0.706
"15",15,0,0,0,0,0,0,0,0,0.676
"16",16,0,0,0,0,0,0,0,0,0.672
"17",17,0,0,0,0,0,0,0,0,0.676
"18",18,0,0,0,0,0,0,0,0,0.722
"19",19,0,0,0,0,0,0,0,0,0.666
"20",20,0,0,0,0,0,0,0,0,0.686
"21",21,0,0,0,0,0,0,0,0,0.682
"22",22,0,0,0,0,0,0,0,0,0.692
"23",23,0,0,0,0,0,0,0,0,0.684
"24",24,0,0,0,0,0,0,0,0,0.722
"25",25,0,0,0,0,0,0,0,0,0.694
"26",26,0,0,0,0,0,0,0,0,0.704
"27",27,0,0,0,0,0,0,0,0,0.69
"28",28,0,0,0,0,0,0,0,0,0.716
"29",29,0,0,0,0,0,0,0,0,0.728
"30",30,0,0,0,0,0,0,0,0,0.706
"31",31,0,0,0,0,0,0,0,0,0.67
"32",32,0,0,0,0,0,0,0,0,0.656
"33",33,0,0,0,0,0,0,0,0,0.714
"34",34,0,0,0,0,0,0,0,0,0.706
"35",35,0,0,0,0,0,0,0,0,0.7
"36",36,0,0,0,0,0,0,0,0,0.692
"37",37,0,0,0,0,0,0,0,0,0.694
"38",38,0,0,0,0,0,0,0,0,0.684
"39",39,0,0,0,0,0,0,0,0,0.722
"40",40,0,0,0,0,0,0,0,0,0.658
"41",41,0,0,0,0,0,0,0,0,0.752
"42",42,0,0,0,0,0,0,0,0,0.698
"43",43,0,0,0,0,0,0,0,0,0.646
"44",44,0,0,0,0,0,0,0,0,0.65
"45",45,0,0,0,0,0,0,0,0,0.696
"46",46,0,0,0,0,0,0,0,0,0.724
"47",47,0,0,0,0,0,0,0,0,0.72
"48",48,0,0,0,0,0,0,0,0,0.724
"49",49,0,0,0,0,0,0,0,0,0.674
"50",50,0,0,0,0,0,0,0,0,0.73
