"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.0436241610738255
"2",2,0,0,0,0,0,0.0306122448979592
"3",3,0,0,0,0,0,0.0398550724637681
"4",4,0,0,0,0,0,0.0545454545454545
"5",5,0,0,0,0,0,0.0407407407407407
"6",6,0,0,0,0,0,0.03584229390681
"7",7,0,0,0,0,0,0.0486111111111111
"8",8,0,0,0,0,0,0.028673835125448
"9",9,0,0,0,0,0,0.0294117647058824
"10",10,0,0,0,0,0,0.0385964912280702
"11",11,0,0,0,0,0,0.0354609929078014
"12",12,0,0,0,0,0,0.03
"13",13,0,0,0,0,0,0.0224358974358974
"14",14,0,0,0,0,0,0.0657894736842105
"15",15,0,0,0,0,0,0.0342205323193916
"16",16,0,0,0,0,0,0.0482758620689655
"17",17,0,0,0,0,0,0.0169491525423729
"18",18,0,0,0,0,0,0.0397111913357401
"19",19,0,0,0,0,0,0.0144404332129964
"20",20,0,0,0,0,0,0.0355871886120996
"21",21,0,0,0,0,0,0.028673835125448
"22",22,0,0,0,0,0,0.0434782608695652
"23",23,0,0,0,0,0,0.0342465753424658
"24",24,0,0,0,0,0,0.036231884057971
"25",25,0,0,0,0,0,0.0378787878787879
"26",26,0,0,0,0,0,0.0159362549800797
"27",27,0,0,0,0,0,0.0382165605095541
"28",28,0,0,0,0,0,0.037542662116041
"29",29,0,0,0,0,0,0.0218978102189781
"30",30,0,0,0,0,0,0.025
"31",31,0,0,0,0,0,0.0335570469798658
"32",32,0,0,0,0,0,0.0320284697508897
"33",33,0,0,0,0,0,0.0168350168350168
"34",34,0,0,0,0,0,0.0335820895522388
"35",35,0,0,0,0,0,0.021505376344086
"36",36,0,0,0,0,0,0.0407407407407407
"37",37,0,0,0,0,0,0.0251798561151079
"38",38,0,0,0,0,0,0.0277777777777778
"39",39,0,0,0,0,0,0.0530035335689046
"40",40,0,0,0,0,0,0.0426229508196721
"41",41,0,0,0,0,0,0.031055900621118
"42",42,0,0,0,0,0,0.0347490347490347
"43",43,0,0,0,0,0,0.0600706713780919
"44",44,0,0,0,0,0,0.0336700336700337
"45",45,0,0,0,0,0,0.0278745644599303
"46",46,0,0,0,0,0,0.0238095238095238
"47",47,0,0,0,0,0,0.0542372881355932
"48",48,0,0,0,0,0,0.037037037037037
"49",49,0,0,0,0,0,0.0424028268551237
"50",50,0,0,0,0,0,0.0396039603960396
