"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0,0,0,0,0.0343839541547278,0
"2",2,0,0,0,0,0,0.0568862275449102,0
"3",3,0,0,0,0,0,0.0690690690690691,0
"4",4,0,0,0,0,0,0.0596590909090909,0
"5",5,0,0,0,0,0,0.0476190476190476,0
"6",6,0,0,0,0,0,0.0386904761904762,0
"7",7,0,0,0,0,0,0.0425531914893617,0
"8",8,0,0,0,0,0,0.0474777448071217,0
"9",9,0,0,0,0,0,0.0632183908045977,0
"10",10,0,0,0,0,0,0.0547550432276657,0
"11",11,0,0,0,0,0,0.0555555555555556,0
"12",12,0,0,0,0,0,0.0434782608695652,0
"13",13,0,0,0,0,0,0.0388059701492537,0
"14",14,0,0,0,0,0,0.0771513353115727,0
"15",15,0,0,0,0,0,0.0558659217877095,0
"16",16,0,0,0,0,0,0.0549132947976879,0
"17",17,0,0,0,0,0,0.069364161849711,0
"18",18,0,0,0,0,0,0.0433526011560694,0
"19",19,0,0,0,0,0,0.0432098765432099,0
"20",20,0,0,0,0,0,0.072289156626506,0
"21",21,0,0,0,0,0,0.0672514619883041,0
"22",22,0,0,0,0,0,0.0687679083094556,0
"23",23,0,0,0,0,0,0.0554016620498615,0
"24",24,0,0,0,0,0,0.0553935860058309,0
"25",25,0,0,0,0,0,0.0552325581395349,0
"26",26,0,0,0,0,0,0.0429447852760736,0
"27",27,0,0,0,0,0,0.0704607046070461,0
"28",28,0,0,0,0,0,0.0412979351032448,0
"29",29,0,0,0,0,0,0.0510510510510511,0
"30",30,0,0,0,0,0,0.0558659217877095,0
"31",31,0,0,0,0,0,0.0537313432835821,0
"32",32,0,0,0,0,0,0.0720720720720721,0
"33",33,0,0,0,0,0,0.0614035087719298,0
"34",34,0,0,0,0,0,0.0668604651162791,0
"35",35,0,0,0,0,0,0.0609756097560976,0
"36",36,0,0,0,0,0,0.0612244897959184,0
"37",37,0,0,0,0,0,0.0682492581602374,0
"38",38,0,0,0,0,0,0.0538243626062323,0
"39",39,0,0,0,0,0,0.0806451612903226,0
"40",40,0,0,0,0,0,0.0537313432835821,0
"41",41,0,0,0,0,0,0.0598290598290598,0
"42",42,0,0,0,0,0,0.0477707006369427,0
"43",43,0,0,0,0,0,0.0626780626780627,0
"44",44,0,0,0,0,0,0.0823863636363636,0
"45",45,0,0,0,0,0,0.0520231213872832,0
"46",46,0,0,0,0,0,0.0726744186046512,0
"47",47,0,0,0,0,0,0.0562130177514793,0
"48",48,0,0,0,0,0,0.0539083557951483,0
"49",49,0,0,0,0,0,0.053072625698324,0
"50",50,0,0,0,0,0,0.0511182108626198,0
