"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.696
"2",2,0,0,0,0,0,0,0,0,0,0.706
"3",3,0,0,0,0,0,0,0,0,0,0.716
"4",4,0,0,0,0,0,0,0,0,0,0.722
"5",5,0,0,0,0,0,0,0,0,0,0.686
"6",6,0,0,0,0,0,0,0,0,0,0.686
"7",7,0,0,0,0,0,0,0,0,0,0.668
"8",8,0,0,0,0,0,0,0,0,0,0.698
"9",9,0,0,0,0,0,0,0,0,0,0.694
"10",10,0,0,0,0,0,0,0,0,0,0.672
"11",11,0,0,0,0,0,0,0,0,0,0.692
"12",12,0,0,0,0,0,0,0,0,0,0.68
"13",13,0,0,0,0,0,0,0,0,0,0.696
"14",14,0,0,0,0,0,0,0,0,0,0.704
"15",15,0,0,0,0,0,0,0,0,0,0.65
"16",16,0,0,0,0,0,0,0,0,0,0.68
"17",17,0,0,0,0,0,0,0,0,0,0.672
"18",18,0,0,0,0,0,0,0,0,0,0.672
"19",19,0,0,0,0,0,0,0,0,0,0.7
"20",20,0,0,0,0,0,0,0,0,0,0.666
"21",21,0,0,0,0,0,0,0,0,0,0.684
"22",22,0,0,0,0,0,0,0,0,0,0.67
"23",23,0,0,0,0,0,0,0,0,0,0.678
"24",24,0,0,0,0,0,0,0,0,0,0.682
"25",25,0,0,0,0,0,0,0,0,0,0.666
"26",26,0,0,0,0,0,0,0,0,0,0.666
"27",27,0,0,0,0,0,0,0,0,0,0.69
"28",28,0,0,0,0,0,0,0,0,0,0.654
"29",29,0,0,0,0,0,0,0,0,0,0.706
"30",30,0,0,0,0,0,0,0,0,0,0.662
"31",31,0,0,0,0,0,0,0,0,0,0.656
"32",32,0,0,0,0,0,0,0,0,0,0.658
"33",33,0,0,0,0,0,0,0,0,0,0.694
"34",34,0,0,0,0,0,0,0,0,0,0.646
"35",35,0,0,0,0,0,0,0,0,0,0.714
"36",36,0,0,0,0,0,0,0,0,0,0.698
"37",37,0,0,0,0,0,0,0,0,0,0.664
"38",38,0,0,0,0,0,0,0,0,0,0.638
"39",39,0,0,0,0,0,0,0,0,0,0.642
"40",40,0,0,0,0,0,0,0,0,0,0.728
"41",41,0,0,0,0,0,0,0,0,0,0.714
"42",42,0,0,0,0,0,0,0,0,0,0.662
"43",43,0,0,0,0,0,0,0,0,0,0.71
"44",44,0,0,0,0,0,0,0,0,0,0.68
"45",45,0,0,0,0,0,0,0,0,0,0.668
"46",46,0,0,0,0,0,0,0,0,0,0.742
"47",47,0,0,0,0,0,0,0,0,0,0.628
"48",48,0,0,0,0,0,0,0,0,0,0.688
"49",49,0,0,0,0,0,0,0,0,0,0.674
"50",50,0,0,0,0,0,0,0,0,0,0.686
