"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t","EV_NPMLE"
"1",1,0,0,0,0,0,0,0,0.102827763496144
"2",2,0,0,0,0,0,0,0,0.114213197969543
"3",3,0,0,0,0,0,0,0,0.116788321167883
"4",4,0,0,0,0,0,0,0,0.11704834605598
"5",5,0,0,0,0,0,0,0,0.0994475138121547
"6",6,0,0,0,0,0,0,0,0.101010101010101
"7",7,0,0,0,0,0,0,0,0.112531969309463
"8",8,0,0,0,0,0,0,0,0.108860759493671
"9",9,0,0,0,0,0,0,0,0.103274559193955
"10",10,0,0,0,0,0,0,0,0.131067961165049
"11",11,0,0,0,0,0,0,0,0.125925925925926
"12",12,0,0,0,0,0,0,0,0.096514745308311
"13",13,0,0,0,0,0,0,0,0.135593220338983
"14",14,0,0,0,0,0,0,0,0.116279069767442
"15",15,0,0,0,0,0,0,0,0.117801047120419
"16",16,0,0,0,0,0,0,0,0.143835616438356
"17",17,0,0,0,0,0,0,0,0.100985221674877
"18",18,0,0,0,0,0,0,0,0.0894736842105263
"19",19,0,0,0,0,0,0,0,0.0972972972972973
"20",20,0,0,0,0,0,0,0,0.0927318295739348
"21",21,0,0,0,0,0,0,0,0.114754098360656
"22",22,0,0,0,0,0,0,0,0.113022113022113
"23",23,0,0,0,0,0,0,0,0.0862944162436548
"24",24,0,0,0,0,0,0,0,0.0857908847184987
"25",25,0,0,0,0,0,0,0,0.115
"26",26,0,0,0,0,0,0,0,0.0979381443298969
"27",27,0,0,0,0,0,0,0,0.0994764397905759
"28",28,0,0,0,0,0,0,0,0.112219451371571
"29",29,0,0,0,0,0,0,0,0.12531328320802
"30",30,0,0,0,0,0,0,0,0.118110236220472
"31",31,0,0,0,0,0,0,0,0.11025641025641
"32",32,0,0,0,0,0,0,0,0.0939086294416244
"33",33,0,0,0,0,0,0,0,0.100263852242744
"34",34,0,0,0,0,0,0,0,0.105651105651106
"35",35,0,0,0,0,0,0,0,0.131067961165049
"36",36,0,0,0,0,0,0,0,0.102272727272727
"37",37,0,0,0,0,0,0,0,0.104166666666667
"38",38,0,0,0,0,0,0,0,0.121065375302663
"39",39,0,0,0,0,0,0,0,0.0695187165775401
"40",40,0,0,0,0,0,0,0,0.10761154855643
"41",41,0,0,0,0,0,0,0,0.0973684210526316
"42",42,0,0,0,0,0,0,0,0.117073170731707
"43",43,0,0,0,0,0,0,0,0.0902255639097744
"44",44,0,0,0,0,0,0,0,0.119909502262443
"45",45,0,0,0,0,0,0,0,0.121428571428571
"46",46,0,0,0,0,0,0,0,0.0725806451612903
"47",47,0,0,0,0,0,0,0,0.13022113022113
"48",48,0,0,0,0,0,0,0,0.111111111111111
"49",49,0,0,0,0,0,0,0,0.0758426966292135
"50",50,0,0,0,0,0,0,0,0.107579462102689
