"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","t_test","EV_NPMLE","EV2_NPMLE","Welch_NPMLE"
"1",1,0,0,0,0,0,0,0,0,0,0.0746666666666667
"2",2,0,0,0,0,0,0,0,0,0,0.0777777777777778
"3",3,0,0,0,0,0,0,0,0,0,0.0838150289017341
"4",4,0,0,0,0,0,0,0,0,0,0.0923913043478261
"5",5,0,0,0,0,0,0,0,0,0,0.0686015831134565
"6",6,0,0,0,0,0,0,0,0,0,0.106741573033708
"7",7,0,0,0,0,0,0,0,0,0,0.122666666666667
"8",8,0,0,0,0,0,0,0,0,0,0.119891008174387
"9",9,0,0,0,0,0,0,0,0,0,0.0608695652173913
"10",10,0,0,0,0,0,0,0,0,0,0.0849315068493151
"11",11,0,0,0,0,0,0,0,0,0,0.0616621983914209
"12",12,0,0,0,0,0,0,0,0,0,0.0748502994011976
"13",13,0,0,0,0,0,0,0,0,0,0.0586666666666667
"14",14,0,0,0,0,0,0,0,0,0,0.0815217391304348
"15",15,0,0,0,0,0,0,0,0,0,0.0874035989717224
"16",16,0,0,0,0,0,0,0,0,0,0.0795454545454545
"17",17,0,0,0,0,0,0,0,0,0,0.092896174863388
"18",18,0,0,0,0,0,0,0,0,0,0.0863509749303621
"19",19,0,0,0,0,0,0,0,0,0,0.0956072351421189
"20",20,0,0,0,0,0,0,0,0,0,0.0901639344262295
"21",21,0,0,0,0,0,0,0,0,0,0.063953488372093
"22",22,0,0,0,0,0,0,0,0,0,0.0652173913043478
"23",23,0,0,0,0,0,0,0,0,0,0.0901408450704225
"24",24,0,0,0,0,0,0,0,0,0,0.0724233983286908
"25",25,0,0,0,0,0,0,0,0,0,0.0991735537190083
"26",26,0,0,0,0,0,0,0,0,0,0.075801749271137
"27",27,0,0,0,0,0,0,0,0,0,0.0633608815426997
"28",28,0,0,0,0,0,0,0,0,0,0.0877659574468085
"29",29,0,0,0,0,0,0,0,0,0,0.0994764397905759
"30",30,0,0,0,0,0,0,0,0,0,0.0765027322404372
"31",31,0,0,0,0,0,0,0,0,0,0.0890052356020942
"32",32,0,0,0,0,0,0,0,0,0,0.0806451612903226
"33",33,0,0,0,0,0,0,0,0,0,0.0887096774193548
"34",34,0,0,0,0,0,0,0,0,0,0.0649717514124294
"35",35,0,0,0,0,0,0,0,0,0,0.0957178841309824
"36",36,0,0,0,0,0,0,0,0,0,0.106849315068493
"37",37,0,0,0,0,0,0,0,0,0,0.0940860215053763
"38",38,0,0,0,0,0,0,0,0,0,0.101333333333333
"39",39,0,0,0,0,0,0,0,0,0,0.0923482849604222
"40",40,0,0,0,0,0,0,0,0,0,0.0926966292134832
"41",41,0,0,0,0,0,0,0,0,0,0.12
"42",42,0,0,0,0,0,0,0,0,0,0.0871794871794872
"43",43,0,0,0,0,0,0,0,0,0,0.0945273631840796
"44",44,0,0,0,0,0,0,0,0,0,0.0614525139664804
"45",45,0,0,0,0,0,0,0,0,0,0.068870523415978
"46",46,0,0,0,0,0,0,0,0,0,0.122762148337596
"47",47,0,0,0,0,0,0,0,0,0,0.111702127659574
"48",48,0,0,0,0,0,0,0,0,0,0.104395604395604
"49",49,0,0,0,0,0,0,0,0,0,0.0819672131147541
"50",50,0,0,0,0,0,0,0,0,0,0.0887728459530026
