"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0,0.32,0.49,0.32,0.134
"2",2,0,0.332,0.49,0.336,0.188
"3",3,0,0.356,0.492,0.356,0.176
"4",4,0,0.336,0.476,0.332,0.2
"5",5,0,0.32,0.486,0.32,0.194
"6",6,0,0.372,0.52,0.372,0.224
"7",7,0,0.36,0.508,0.36,0.22
"8",8,0,0.346,0.486,0.342,0.192
"9",9,0,0.394,0.542,0.388,0.21
"10",10,0,0.37,0.512,0.37,0.218
"11",11,0,0.36,0.496,0.358,0.196
"12",12,0,0.418,0.538,0.418,0.258
"13",13,0,0.35,0.494,0.348,0.19
"14",14,0,0.356,0.536,0.356,0.198
"15",15,0,0.376,0.49,0.376,0.186
"16",16,0,0.344,0.53,0.344,0.162
"17",17,0,0.336,0.454,0.336,0.222
"18",18,0,0.42,0.528,0.418,0.212
"19",19,0,0.26,0.474,0.258,0.156
"20",20,0,0.348,0.504,0.348,0.192
"21",21,0,0.318,0.484,0.318,0.156
"22",22,0,0.378,0.52,0.378,0.218
"23",23,0,0.384,0.512,0.384,0.224
"24",24,0,0.352,0.502,0.344,0.168
"25",25,0,0.36,0.5,0.36,0.188
"26",26,0,0.352,0.536,0.354,0.22
"27",27,0,0.322,0.504,0.308,0.198
"28",28,0,0.33,0.52,0.332,0.174
"29",29,0,0.362,0.506,0.362,0.214
"30",30,0,0.33,0.522,0.33,0.208
"31",31,0,0.38,0.534,0.38,0.228
"32",32,0,0.358,0.492,0.346,0.206
"33",33,0,0.378,0.564,0.374,0.18
"34",34,0,0.368,0.5,0.368,0.192
"35",35,0,0.352,0.528,0.35,0.194
"36",36,0,0.388,0.498,0.386,0.198
"37",37,0,0.352,0.488,0.352,0.214
"38",38,0,0.358,0.512,0.358,0.216
"39",39,0,0.3,0.504,0.298,0.17
"40",40,0,0.318,0.464,0.314,0.18
"41",41,0,0.37,0.516,0.37,0.186
"42",42,0,0.372,0.502,0.368,0.168
"43",43,0,0.336,0.49,0.328,0.188
"44",44,0,0.356,0.49,0.356,0.156
"45",45,0,0.284,0.468,0.282,0.156
"46",46,0,0.392,0.486,0.388,0.246
"47",47,0,0.39,0.532,0.39,0.236
"48",48,0,0.324,0.474,0.322,0.22
"49",49,0,0.318,0.494,0.318,0.164
"50",50,0,0.366,0.532,0.37,0.146
