"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.534,0.536,0.548,0.532,0.464
"2",2,0.528,0.526,0.55,0.526,0.458
"3",3,0.538,0.534,0.584,0.534,0.44
"4",4,0.598,0.6,0.614,0.6,0.478
"5",5,0.602,0.602,0.616,0.602,0.514
"6",6,0.5,0.5,0.536,0.5,0.432
"7",7,0.56,0.558,0.598,0.558,0.454
"8",8,0.496,0.498,0.554,0.498,0.418
"9",9,0.534,0.534,0.57,0.534,0.418
"10",10,0.536,0.534,0.572,0.536,0.442
"11",11,0.512,0.514,0.558,0.514,0.446
"12",12,0.596,0.596,0.616,0.596,0.496
"13",13,0.554,0.55,0.584,0.552,0.466
"14",14,0.594,0.592,0.614,0.594,0.482
"15",15,0.536,0.538,0.554,0.538,0.416
"16",16,0.52,0.522,0.546,0.52,0.416
"17",17,0.59,0.588,0.63,0.588,0.528
"18",18,0.546,0.548,0.592,0.548,0.486
"19",19,0.524,0.526,0.536,0.524,0.438
"20",20,0.594,0.592,0.636,0.592,0.494
"21",21,0.57,0.568,0.596,0.568,0.432
"22",22,0.552,0.552,0.584,0.552,0.452
"23",23,0.58,0.58,0.6,0.58,0.49
"24",24,0.548,0.548,0.576,0.548,0.418
"25",25,0.594,0.59,0.618,0.59,0.502
"26",26,0.536,0.536,0.584,0.536,0.47
"27",27,0.576,0.576,0.612,0.576,0.464
"28",28,0.556,0.556,0.582,0.556,0.444
"29",29,0.552,0.548,0.588,0.552,0.464
"30",30,0.534,0.536,0.556,0.534,0.45
"31",31,0.59,0.59,0.604,0.59,0.476
"32",32,0.558,0.556,0.602,0.556,0.47
"33",33,0.59,0.59,0.614,0.592,0.502
"34",34,0.54,0.54,0.582,0.54,0.43
"35",35,0.588,0.588,0.614,0.592,0.492
"36",36,0.58,0.582,0.622,0.582,0.512
"37",37,0.554,0.558,0.598,0.556,0.44
"38",38,0.546,0.544,0.582,0.544,0.442
"39",39,0.54,0.54,0.576,0.542,0.444
"40",40,0.534,0.536,0.556,0.534,0.448
"41",41,0.52,0.52,0.556,0.518,0.448
"42",42,0.576,0.58,0.602,0.58,0.502
"43",43,0.554,0.55,0.584,0.55,0.48
"44",44,0.57,0.57,0.604,0.57,0.468
"45",45,0.592,0.592,0.604,0.592,0.492
"46",46,0.53,0.534,0.578,0.534,0.44
"47",47,0.528,0.53,0.556,0.528,0.444
"48",48,0.578,0.578,0.628,0.574,0.502
"49",49,0.566,0.564,0.59,0.564,0.506
"50",50,0.594,0.592,0.632,0.592,0.512
