"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0.0847457627118644,0.0901856763925729,0,0,0
"2",2,0,0.0895953757225433,0.10958904109589,0,0,0
"3",3,0,0.0893371757925072,0.0945558739255014,0,0,0
"4",4,0,0.0631229235880399,0.0712074303405573,0,0,0
"5",5,0,0.0851063829787234,0.0991253644314869,0,0,0
"6",6,0,0.0641399416909621,0.0819209039548023,0,0,0
"7",7,0,0.109195402298851,0.110803324099723,0,0,0
"8",8,0,0.0831024930747922,0.0684931506849315,0,0,0
"9",9,0,0.0727272727272727,0.0909090909090909,0,0,0
"10",10,0,0.0932944606413994,0.0985915492957746,0,0,0
"11",11,0,0.0919540229885057,0.102981029810298,0,0,0
"12",12,0,0.0991735537190083,0.112021857923497,0,0,0
"13",13,0,0.0712250712250712,0.0817438692098093,0,0,0
"14",14,0,0.0714285714285714,0.0903790087463557,0,0,0
"15",15,0,0.112359550561798,0.101123595505618,0,0,0
"16",16,0,0.0766871165644172,0.0835820895522388,0,0,0
"17",17,0,0.103932584269663,0.0906515580736544,0,0,0
"18",18,0,0.0930232558139535,0.100286532951289,0,0,0
"19",19,0,0.0783699059561129,0.0848484848484849,0,0,0
"20",20,0,0.0762195121951219,0.0884955752212389,0,0,0
"21",21,0,0.124668435013263,0.122715404699739,0,0,0
"22",22,0,0.0576271186440678,0.0711974110032362,0,0,0
"23",23,0,0.0903790087463557,0.086053412462908,0,0,0
"24",24,0,0.0875706214689266,0.0919220055710306,0,0,0
"25",25,0,0.0897832817337461,0.0804953560371517,0,0,0
"26",26,0,0.0833333333333333,0.101369863013699,0,0,0
"27",27,0,0.0497076023391813,0.0710382513661202,0,0,0
"28",28,0,0.0958083832335329,0.0764705882352941,0,0,0
"29",29,0,0.103448275862069,0.108465608465608,0,0,0
"30",30,0,0.0906432748538012,0.0977011494252874,0,0,0
"31",31,0,0.0801186943620178,0.0716417910447761,0,0,0
"32",32,0,0.0870870870870871,0.081570996978852,0,0,0
"33",33,0,0.10427807486631,0.0887096774193548,0,0,0
"34",34,0,0.0753623188405797,0.0557184750733138,0,0,0
"35",35,0,0.0919540229885057,0.0926966292134832,0,0,0
"36",36,0,0.0766773162939297,0.0936555891238671,0,0,0
"37",37,0,0.0997150997150997,0.094017094017094,0,0,0
"38",38,0,0.0690690690690691,0.0730994152046784,0,0,0
"39",39,0,0.0868347338935574,0.096,0,0,0
"40",40,0,0.0852941176470588,0.0833333333333333,0,0,0
"41",41,0,0.106100795755968,0.105121293800539,0,0,0
"42",42,0,0.0823863636363636,0.0837988826815642,0,0,0
"43",43,0,0.0867052023121387,0.0951086956521739,0,0,0
"44",44,0,0.0685358255451713,0.059190031152648,0,0,0
"45",45,0,0.0758426966292135,0.0638888888888889,0,0,0
"46",46,0,0.112068965517241,0.0843023255813953,0,0,0
"47",47,0,0.108571428571429,0.114525139664804,0,0,0
"48",48,0,0.117117117117117,0.123893805309735,0,0,0
"49",49,0,0.0718562874251497,0.0869565217391304,0,0,0
"50",50,0,0.0608695652173913,0.076271186440678,0,0,0
