"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.498
"2",2,0,0,0,0,0,0.456
"3",3,0,0,0,0,0,0.53
"4",4,0,0,0,0,0,0.508
"5",5,0,0,0,0,0,0.498
"6",6,0,0,0,0,0,0.512
"7",7,0,0,0,0,0,0.454
"8",8,0,0,0,0,0,0.5
"9",9,0,0,0,0,0,0.49
"10",10,0,0,0,0,0,0.508
"11",11,0,0,0,0,0,0.478
"12",12,0,0,0,0,0,0.5
"13",13,0,0,0,0,0,0.516
"14",14,0,0,0,0,0,0.518
"15",15,0,0,0,0,0,0.45
"16",16,0,0,0,0,0,0.484
"17",17,0,0,0,0,0,0.478
"18",18,0,0,0,0,0,0.424
"19",19,0,0,0,0,0,0.526
"20",20,0,0,0,0,0,0.492
"21",21,0,0,0,0,0,0.456
"22",22,0,0,0,0,0,0.544
"23",23,0,0,0,0,0,0.488
"24",24,0,0,0,0,0,0.466
"25",25,0,0,0,0,0,0.462
"26",26,0,0,0,0,0,0.502
"27",27,0,0,0,0,0,0.456
"28",28,0,0,0,0,0,0.466
"29",29,0,0,0,0,0,0.456
"30",30,0,0,0,0,0,0.456
"31",31,0,0,0,0,0,0.448
"32",32,0,0,0,0,0,0.43
"33",33,0,0,0,0,0,0.528
"34",34,0,0,0,0,0,0.49
"35",35,0,0,0,0,0,0.542
"36",36,0,0,0,0,0,0.494
"37",37,0,0,0,0,0,0.476
"38",38,0,0,0,0,0,0.542
"39",39,0,0,0,0,0,0.5
"40",40,0,0,0,0,0,0.516
"41",41,0,0,0,0,0,0.472
"42",42,0,0,0,0,0,0.524
"43",43,0,0,0,0,0,0.464
"44",44,0,0,0,0,0,0.496
"45",45,0,0,0,0,0,0.502
"46",46,0,0,0,0,0,0.482
"47",47,0,0,0,0,0,0.488
"48",48,0,0,0,0,0,0.422
"49",49,0,0,0,0,0,0.492
"50",50,0,0,0,0,0,0.482
