"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.0909090909090909,0.0925925925925926,0,0,0,0
"2",2,0,0.0868421052631579,0.0783289817232376,0,0,0,0
"3",3,0,0.0957746478873239,0.0819209039548023,0,0,0,0
"4",4,0,0.0975609756097561,0.0976253298153034,0,0,0,0
"5",5,0,0.0723860589812333,0.079155672823219,0,0,0,0
"6",6,0,0.0773480662983425,0.0806451612903226,0,0,0,0
"7",7,0,0.118110236220472,0.11139896373057,0,0,0,0
"8",8,0,0.069060773480663,0.0938337801608579,0,0,0,0
"9",9,0,0.0817941952506596,0.0876288659793814,0,0,0,0
"10",10,0,0.1,0,0,0,0,0
"11",11,0,0.0871934604904632,0.0918918918918919,0,0,0,0
"12",12,0,0.09375,0.110831234256927,0,0,0,0
"13",13,0,0.0735694822888283,0.0773333333333333,0,0,0,0
"14",14,0,0.0854700854700855,0.0904109589041096,0,0,0,0
"15",15,0,0.0604395604395604,0.0516304347826087,0,0,0,0
"16",16,0,0.087431693989071,0.0870712401055409,0,0,0,0
"17",17,0,0.0754716981132075,0.0837696335078534,0,0,0,0
"18",18,0,0.0710526315789474,0.0552631578947368,0,0,0,0
"19",19,0,0.0850515463917526,0.0952380952380952,0,0,0,0
"20",20,0,0.110526315789474,0.101298701298701,0,0,0,0
"21",21,0,0.118421052631579,0.104166666666667,0,0,0,0
"22",22,0,0.0901856763925729,0.0863874345549738,0,0,0,0
"23",23,0,0.0913838120104439,0.101036269430052,0,0,0,0
"24",24,0,0.0508474576271186,0.0512820512820513,0,0,0,0
"25",25,0,0.0916030534351145,0.0966921119592875,0,0,0,0
"26",26,0,0.078740157480315,0.0923076923076923,0,0,0,0
"27",27,0,0.104166666666667,0,0,0,0,0
"28",28,0,0.10705596107056,0.106024096385542,0,0,0,0
"29",29,0,0.0588235294117647,0.0753246753246753,0,0,0,0
"30",30,0,0.0904255319148936,0.0921052631578947,0,0,0,0
"31",31,0,0.088,0.0925925925925926,0,0,0,0
"32",32,0,0.0694444444444444,0.0704607046070461,0,0,0,0
"33",33,0,0.0645161290322581,0.077720207253886,0,0,0,0
"34",34,0,0.0819672131147541,0.100529100529101,0,0,0,0
"35",35,0,0.092964824120603,0.105134474327628,0,0,0,0
"36",36,0,0.0762942779291553,0.088,0,0,0,0
"37",37,0,0.0893300248138958,0.0895522388059701,0,0,0,0
"38",38,0,0.0794520547945206,0.0794520547945206,0,0,0,0
"39",39,0,0.0958549222797927,0.078125,0,0,0,0
"40",40,0,0.0897435897435897,0.0769230769230769,0,0,0,0
"41",41,0,0.0815217391304348,0.0702702702702703,0,0,0,0
"42",42,0,0.114795918367347,0.10941475826972,0,0,0,0
"43",43,0,0.0974930362116992,0.0949720670391061,0,0,0,0
"44",44,0,0.0930232558139535,0.0939086294416244,0,0,0,0
"45",45,0,0.0714285714285714,0,0,0,0,0
"46",46,0,0.0692520775623269,0.0833333333333333,0,0,0,0
"47",47,0,0.102425876010782,0.0792349726775956,0,0,0,0
"48",48,0,0.0731707317073171,0.0623306233062331,0,0,0,0
"49",49,0,0.0970149253731343,0.077120822622108,0,0,0,0
"50",50,0,0.10831234256927,0.106870229007634,0,0,0,0
