"","Round..FDP.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F"
"1",1,0,0,0,0,0,0.0411764705882353
"2",2,0,0,0,0,0,0.0328358208955224
"3",3,0,0,0,0,0,0.0436046511627907
"4",4,0,0,0,0,0,0.0246913580246914
"5",5,0,0,0,0,0,0.048048048048048
"6",6,0,0,0,0,0,0.0542168674698795
"7",7,0,0,0,0,0,0.0457317073170732
"8",8,0,0,0,0,0,0.0617647058823529
"9",9,0,0,0,0,0,0.0457317073170732
"10",10,0,0,0,0,0,0.0434782608695652
"11",11,0,0,0,0,0,0.0467032967032967
"12",12,0,0,0,0,0,0.0502958579881657
"13",13,0,0,0,0,0,0.0352941176470588
"14",14,0,0,0,0,0,0.0343839541547278
"15",15,0,0,0,0,0,0.033434650455927
"16",16,0,0,0,0,0,0.0353982300884956
"17",17,0,0,0,0,0,0.0303951367781155
"18",18,0,0,0,0,0,0.0574018126888218
"19",19,0,0,0,0,0,0.0417910447761194
"20",20,0,0,0,0,0,0.0683760683760684
"21",21,0,0,0,0,0,0.0373563218390805
"22",22,0,0,0,0,0,0.0432098765432099
"23",23,0,0,0,0,0,0.0377906976744186
"24",24,0,0,0,0,0,0.0549132947976879
"25",25,0,0,0,0,0,0.0471976401179941
"26",26,0,0,0,0,0,0.0409356725146199
"27",27,0,0,0,0,0,0.0406976744186047
"28",28,0,0,0,0,0,0.0348101265822785
"29",29,0,0,0,0,0,0.0662824207492795
"30",30,0,0,0,0,0,0.0318840579710145
"31",31,0,0,0,0,0,0.0532544378698225
"32",32,0,0,0,0,0,0.0716253443526171
"33",33,0,0,0,0,0,0.0495626822157434
"34",34,0,0,0,0,0,0.0346820809248555
"35",35,0,0,0,0,0,0.0324483775811209
"36",36,0,0,0,0,0,0.0392749244712991
"37",37,0,0,0,0,0,0.0660660660660661
"38",38,0,0,0,0,0,0.0535714285714286
"39",39,0,0,0,0,0,0.0523255813953488
"40",40,0,0,0,0,0,0.0307692307692308
"41",41,0,0,0,0,0,0.0488505747126437
"42",42,0,0,0,0,0,0.0520231213872832
"43",43,0,0,0,0,0,0.0547945205479452
"44",44,0,0,0,0,0,0.0519877675840979
"45",45,0,0,0,0,0,0.0509915014164306
"46",46,0,0,0,0,0,0.0467836257309941
"47",47,0,0,0,0,0,0.0678466076696165
"48",48,0,0,0,0,0,0.0512820512820513
"49",49,0,0,0,0,0,0.0379008746355685
"50",50,0,0,0,0,0,0.0588235294117647
